poligono,data_planio,cultura
"{""type"":""Polygon"",""coordinates"":[[[-51.543682,-23.635147],[-51.552985,-23.639831],[-51.552938,-23.639987],[-51.552904,-23.640063],[-51.552866,-23.640135],[-51.552713,-23.640341],[-51.552637,-23.640437],[-51.552547,-23.640527],[-51.552504,-23.640566],[-51.552444,-23.640594],[-51.552364,-23.640611],[-51.552307,-23.640621],[-51.552213,-23.640606],[-51.543221,-23.636066],[-51.543682,-23.635147]]]}",2019-01-09,Milho
"{""type"":""Polygon"",""coordinates"":[[[-53.730278,-24.276944],[-53.731599,-24.276856],[-53.732114,-24.276426],[-53.732715,-24.276387],[-53.734174,-24.277247],[-53.734689,-24.277638],[-53.735375,-24.277482],[-53.735847,-24.277052],[-53.735933,-24.26778],[-53.734388,-24.267584],[-53.732157,-24.267936],[-53.73044,-24.268171],[-53.730826,-24.268758],[-53.730698,-24.269345],[-53.730354,-24.270205],[-53.730183,-24.27087],[-53.72941,-24.271692],[-53.729024,-24.273531],[-53.729196,-24.274665],[-53.730278,-24.276944]]]}",2019-01-12,Milho
"{""type"":""Polygon"",""coordinates"":[[[-52.90241,-26.245985],[-52.907581,-26.246581],[-52.90786,-26.246196],[-52.907538,-26.245908],[-52.906036,-26.245638],[-52.903805,-26.245138],[-52.902496,-26.244811],[-52.90138,-26.244214],[-52.901316,-26.243617],[-52.901938,-26.243521],[-52.903097,-26.244118],[-52.903225,-26.243617],[-52.905071,-26.244041],[-52.905328,-26.244791],[-52.906165,-26.24508],[-52.907646,-26.245157],[-52.909083,-26.2456],[-52.910349,-26.245138],[-52.910736,-26.244599],[-52.911701,-26.244176],[-52.912431,-26.243425],[-52.893226,-26.24152],[-52.89314,-26.245042],[-52.90241,-26.245985]]]}",2019-01-19,Milho
"{""type"":""Polygon"",""coordinates"":[[[-54.851092,-21.993615],[-54.850699,-21.993114],[-54.850306,-21.992476],[-54.850306,-21.992065],[-54.850502,-21.99161],[-54.849863,-21.990789],[-54.849962,-21.990379],[-54.849863,-21.989923],[-54.849274,-21.989422],[-54.849332,-21.988523],[-54.84918,-21.98758],[-54.848527,-21.987104],[-54.846796,-21.986624],[-54.850982,-21.979182],[-54.85188,-21.978911],[-54.852829,-21.978598],[-54.852846,-21.978543],[-54.853727,-21.977784],[-54.854471,-21.976931],[-54.854123,-21.976694],[-54.85441,-21.976085],[-54.854502,-21.97571],[-54.854157,-21.975309],[-54.859035,-21.966392],[-54.85906,-21.966089],[-54.858962,-21.965708],[-54.866043,-21.969094],[-54.865334,-21.970314],[-54.864728,-21.969945],[-54.86089,-21.977193],[-54.857907,-21.982715],[-54.856271,-21.984365],[-54.856115,-21.985129],[-54.855633,-21.985882],[-54.854486,-21.985674],[-54.853297,-21.985256],[-54.852632,-21.985633],[-54.851891,-21.986625],[-54.851367,-21.987838],[-54.851048,-21.988236],[-54.85133,-21.988434],[-54.852291,-21.989062],[-54.852608,-21.989296],[-54.852685,-21.989683],[-54.852681,-21.990257],[-54.852559,-21.990901],[-54.852399,-21.991647],[-54.852242,-21.992273],[-54.851895,-21.993642],[-54.851092,-21.993615]]]}",2019-01-22,Milho
"{""type"":""Polygon"",""coordinates"":[[[-54.837082,-22.595018],[-54.842917,-22.588924],[-54.852848,-22.591564],[-54.854785,-22.594179],[-54.859698,-22.596362],[-54.859371,-22.601282],[-54.85794,-22.601761],[-54.855679,-22.602291],[-54.852594,-22.602246],[-54.849834,-22.60146],[-54.848379,-22.599543],[-54.847498,-22.598435],[-54.847529,-22.597974],[-54.847,-22.596874],[-54.845603,-22.596297],[-54.841823,-22.596281],[-54.837082,-22.595018]]]}",2019-02-01,Milho
"{""type"":""Polygon"",""coordinates"":[[[-52.915134,-14.657001],[-52.91625,-14.65671],[-52.917109,-14.657126],[-52.918482,-14.656918],[-52.919168,-14.657292],[-52.919512,-14.656669],[-52.920671,-14.656835],[-52.919211,-14.658662],[-52.91934,-14.662523],[-52.927194,-14.657126],[-52.927451,-14.655506],[-52.926421,-14.655216],[-52.927537,-14.654261],[-52.928052,-14.646413],[-52.927022,-14.646683],[-52.926936,-14.647721],[-52.925713,-14.647348],[-52.910714,-14.655174],[-52.9105,-14.65671],[-52.915134,-14.657001]]]}",2019-02-01,Milho
"{""type"":""Polygon"",""coordinates"":[[[-52.019098,-22.64945],[-52.019164,-22.649029],[-52.01929,-22.64862],[-52.019446,-22.648235],[-52.019648,-22.647877],[-52.019887,-22.647526],[-52.020016,-22.647352],[-52.020159,-22.647193],[-52.020474,-22.646905],[-52.020824,-22.646628],[-52.02122,-22.646393],[-52.021653,-22.646188],[-52.022117,-22.646014],[-52.022318,-22.645998],[-52.022883,-22.645783],[-52.023186,-22.64573],[-52.023574,-22.645699],[-52.023966,-22.645697],[-52.024004,-22.64577],[-52.024194,-22.645907],[-52.024699,-22.646004],[-52.024966,-22.646075],[-52.025375,-22.646284],[-52.025898,-22.646566],[-52.026317,-22.646904],[-52.026684,-22.647225],[-52.026854,-22.647412],[-52.026981,-22.647585],[-52.027192,-22.647889],[-52.027354,-22.64822],[-52.027504,-22.648597],[-52.027644,-22.649031],[-52.027715,-22.649449],[-52.027739,-22.649862],[-52.027724,-22.650303],[-52.027668,-22.65071],[-52.027545,-22.651131],[-52.027381,-22.65151],[-52.027182,-22.651864],[-52.026941,-22.652214],[-52.026658,-22.652538],[-52.026323,-22.65285],[-52.025974,-22.653102],[-52.025605,-22.653345],[-52.025187,-22.653511],[-52.024735,-22.653649],[-52.024323,-22.653777],[-52.024101,-22.653828],[-52.023881,-22.653848],[-52.023415,-22.653866],[-52.02297,-22.653846],[-52.022599,-22.653813],[-52.022055,-22.653667],[-52.021654,-22.653523],[-52.021377,-22.653404],[-52.020862,-22.653109],[-52.020536,-22.652857],[-52.020309,-22.652651],[-52.020006,-22.652396],[-52.019903,-22.65226],[-52.019826,-22.652159],[-52.019761,-22.652059],[-52.019644,-22.651849],[-52.019572,-22.651699],[-52.019491,-22.651505],[-52.019401,-22.651328],[-52.019289,-22.65111],[-52.019206,-22.650946],[-52.019141,-22.650747],[-52.019083,-22.650308],[-52.019066,-22.649892],[-52.019098,-22.64945]]]}",2019-02-01,Milho
"{""type"":""Polygon"",""coordinates"":[[[-53.422995,-17.859397],[-53.419089,-17.847224],[-53.40349,-17.852718],[-53.406408,-17.86052],[-53.422995,-17.859397]]]}",2019-02-04,Milho
"{""type"":""Polygon"",""coordinates"":[[[-54.18148,-23.801013],[-54.177296,-23.800267],[-54.177489,-23.799874],[-54.177361,-23.799521],[-54.176931,-23.799462],[-54.176481,-23.799462],[-54.176223,-23.799776],[-54.17618,-23.800149],[-54.172018,-23.799619],[-54.174217,-23.792659],[-54.174904,-23.790479],[-54.177897,-23.791579],[-54.179034,-23.789488],[-54.183412,-23.791274],[-54.183615,-23.791844],[-54.183755,-23.79204],[-54.184313,-23.792001],[-54.184967,-23.79205],[-54.184345,-23.793719],[-54.18207,-23.799609],[-54.181899,-23.800159],[-54.181641,-23.800816],[-54.18148,-23.801013]]]}",2019-02-05,Milho
"{""type"":""Polygon"",""coordinates"":[[[-52.018762,-22.645858],[-52.017474,-22.644888],[-52.014631,-22.644977],[-52.014159,-22.645442],[-52.013859,-22.645839],[-52.013655,-22.646274],[-52.013344,-22.646749],[-52.013011,-22.647146],[-52.012829,-22.647512],[-52.01285,-22.647938],[-52.013011,-22.648433],[-52.013183,-22.648651],[-52.013386,-22.649126],[-52.013526,-22.649185],[-52.013762,-22.649294],[-52.013955,-22.649552],[-52.014213,-22.649829],[-52.014588,-22.650146],[-52.014856,-22.650304],[-52.015178,-22.650443],[-52.015543,-22.650492],[-52.015715,-22.650463],[-52.015929,-22.650522],[-52.01624,-22.650591],[-52.016444,-22.650591],[-52.016702,-22.650492],[-52.016895,-22.650413],[-52.017142,-22.650364],[-52.017421,-22.650364],[-52.017721,-22.650324],[-52.017989,-22.650294],[-52.01829,-22.650294],[-52.018504,-22.650344],[-52.018687,-22.650443],[-52.018837,-22.650552],[-52.019086,-22.650713],[-52.019078,-22.650559],[-52.019049,-22.650398],[-52.019016,-22.650071],[-52.019022,-22.649574],[-52.019081,-22.649198],[-52.019148,-22.648881],[-52.019282,-22.648448],[-52.019486,-22.647953],[-52.019411,-22.64722],[-52.019212,-22.646551],[-52.018762,-22.645858]]]}",2019-02-07,Milho
"{""type"":""Polygon"",""coordinates"":[[[-52.410922,-11.095198],[-52.415257,-11.084164],[-52.405515,-11.082311],[-52.404528,-11.086775],[-52.402296,-11.087281],[-52.401695,-11.088881],[-52.396846,-11.090144],[-52.396846,-11.087912],[-52.397275,-11.085849],[-52.395816,-11.082016],[-52.393756,-11.081469],[-52.397361,-11.0797],[-52.397747,-11.078437],[-52.394013,-11.078226],[-52.393799,-11.076583],[-52.389464,-11.077468],[-52.392168,-11.091282],[-52.410922,-11.095198]]]}",2019-02-08,Milho
"{""type"":""Polygon"",""coordinates"":[[[-51.470761,-23.521642],[-51.470541,-23.521723],[-51.470369,-23.521789],[-51.471773,-23.523623],[-51.472319,-23.524321],[-51.472967,-23.525101],[-51.473053,-23.525149],[-51.473179,-23.525161],[-51.473266,-23.525183],[-51.473375,-23.52521],[-51.473609,-23.525283],[-51.473764,-23.525323],[-51.473973,-23.52536],[-51.474096,-23.525424],[-51.47423,-23.525499],[-51.474456,-23.525636],[-51.474547,-23.525687],[-51.474643,-23.525761],[-51.474672,-23.525783],[-51.47469,-23.525793],[-51.474729,-23.525813],[-51.474769,-23.52584],[-51.474771,-23.525837],[-51.474781,-23.525814],[-51.474799,-23.525781],[-51.474834,-23.52575],[-51.474861,-23.525711],[-51.474895,-23.525685],[-51.474928,-23.525637],[-51.474973,-23.525606],[-51.475026,-23.525564],[-51.475097,-23.525486],[-51.475113,-23.525358],[-51.475215,-23.525289],[-51.475279,-23.525313],[-51.475339,-23.525356],[-51.475357,-23.525375],[-51.475397,-23.525383],[-51.475472,-23.525333],[-51.47555,-23.525331],[-51.475617,-23.525414],[-51.475663,-23.525419],[-51.475751,-23.525441],[-51.47585,-23.525532],[-51.475939,-23.525626],[-51.476033,-23.525727],[-51.476161,-23.525845],[-51.476237,-23.525857],[-51.47633,-23.525886],[-51.476384,-23.52598],[-51.476317,-23.526078],[-51.476373,-23.526167],[-51.476435,-23.526221],[-51.476467,-23.526253],[-51.476612,-23.526395],[-51.476725,-23.526513],[-51.476961,-23.526769],[-51.477132,-23.526971],[-51.477149,-23.526956],[-51.477331,-23.526804],[-51.477583,-23.526636],[-51.477771,-23.526494],[-51.477883,-23.52641],[-51.477959,-23.526341],[-51.477803,-23.526194],[-51.477701,-23.526027],[-51.477712,-23.525953],[-51.477706,-23.525879],[-51.477792,-23.525786],[-51.478018,-23.525633],[-51.478286,-23.52549],[-51.47835,-23.525387],[-51.478272,-23.525237],[-51.478152,-23.525112],[-51.47805,-23.524979],[-51.4779,-23.524802],[-51.477771,-23.524664],[-51.477642,-23.524448],[-51.477556,-23.524251],[-51.477749,-23.524015],[-51.477985,-23.523857],[-51.478157,-23.523739],[-51.478264,-23.523641],[-51.478565,-23.523405],[-51.478608,-23.52311],[-51.478758,-23.522952],[-51.478865,-23.522677],[-51.479014,-23.522584],[-51.479194,-23.522536],[-51.479391,-23.522496],[-51.479479,-23.522507],[-51.479638,-23.522464],[-51.479782,-23.522467],[-51.479937,-23.522354],[-51.480047,-23.522333],[-51.480169,-23.522196],[-51.480114,-23.522045],[-51.479981,-23.52189],[-51.479766,-23.521752],[-51.479644,-23.521718],[-51.479416,-23.521674],[-51.479316,-23.521615],[-51.479214,-23.521549],[-51.479002,-23.521536],[-51.478809,-23.521473],[-51.478655,-23.521346],[-51.478621,-23.521289],[-51.478542,-23.521238],[-51.478329,-23.521182],[-51.478121,-23.521141],[-51.477879,-23.52116],[-51.477775,-23.521104],[-51.477728,-23.521055],[-51.477655,-23.520964],[-51.477574,-23.520863],[-51.477563,-23.520735],[-51.477622,-23.520622],[-51.477688,-23.520591],[-51.477757,-23.520564],[-51.477814,-23.520508],[-51.477818,-23.520461],[-51.477786,-23.520439],[-51.477772,-23.520401],[-51.477783,-23.520362],[-51.477807,-23.520339],[-51.477819,-23.520295],[-51.47782,-23.520264],[-51.477799,-23.520199],[-51.477795,-23.520166],[-51.477775,-23.520132],[-51.47774,-23.520073],[-51.477693,-23.520049],[-51.47768,-23.520004],[-51.477685,-23.519903],[-51.477694,-23.519709],[-51.477672,-23.51964],[-51.477657,-23.51961],[-51.477651,-23.519566],[-51.47763,-23.519533],[-51.477576,-23.519515],[-51.477509,-23.519501],[-51.477445,-23.519498],[-51.477401,-23.519485],[-51.477277,-23.519477],[-51.477186,-23.51946],[-51.476976,-23.519464],[-51.476676,-23.519509],[-51.476388,-23.519588],[-51.476284,-23.519621],[-51.476184,-23.51965],[-51.475993,-23.519716],[-51.475613,-23.519865],[-51.475003,-23.5201],[-51.474186,-23.520379],[-51.473262,-23.52071],[-51.472795,-23.520864],[-51.472573,-23.520953],[-51.472366,-23.521034],[-51.471757,-23.521263],[-51.471494,-23.521361],[-51.471162,-23.521482],[-51.470761,-23.521642]]]}",2019-02-08,Milho
"{""type"":""Polygon"",""coordinates"":[[[-53.031328,-23.320031],[-53.030598,-23.320287],[-53.030555,-23.321804],[-53.028753,-23.321903],[-53.02886,-23.322415],[-53.028324,-23.322376],[-53.028431,-23.323518],[-53.02989,-23.323302],[-53.030748,-23.323479],[-53.031607,-23.323341],[-53.032637,-23.323893],[-53.034096,-23.324011],[-53.035362,-23.32409],[-53.036649,-23.323932],[-53.037025,-23.323321],[-53.037593,-23.322898],[-53.037722,-23.317252],[-53.033259,-23.317075],[-53.030963,-23.31739],[-53.031328,-23.320031]]]}",2019-02-08,Milho
"{""type"":""Polygon"",""coordinates"":[[[-52.405601,-11.048807],[-52.404957,-11.037539],[-52.395988,-11.036023],[-52.392855,-11.037539],[-52.386503,-11.036402],[-52.386117,-11.040193],[-52.386847,-11.042847],[-52.388091,-11.044953],[-52.389121,-11.044026],[-52.390795,-11.042215],[-52.392447,-11.040046],[-52.393434,-11.040214],[-52.390108,-11.044363],[-52.399163,-11.046553],[-52.400279,-11.0447],[-52.401223,-11.045205],[-52.400022,-11.04689],[-52.405601,-11.048807]]]}",2019-02-10,Milho
"{""type"":""Polygon"",""coordinates"":[[[-52.764759,-24.125018],[-52.766047,-24.123764],[-52.767034,-24.12255],[-52.769094,-24.122394],[-52.769094,-24.1155],[-52.769094,-24.1155],[-52.764759,-24.11503],[-52.763042,-24.114951],[-52.76124,-24.115108],[-52.761025,-24.119182],[-52.764544,-24.119299],[-52.764673,-24.122354],[-52.764072,-24.123569],[-52.763557,-24.12443],[-52.764759,-24.125018]]]}",2019-02-10,Milho
"{""type"":""Polygon"",""coordinates"":[[[-51.045278,-17.419167],[-51.045278,-17.419167],[-51.045278,-17.419167],[-51.045278,-17.419167],[-51.045613,-17.419248],[-51.045463,-17.41975],[-51.044884,-17.420425],[-51.044154,-17.421654],[-51.041858,-17.425237],[-51.041107,-17.426629],[-51.036708,-17.424397],[-51.037481,-17.423496],[-51.036773,-17.413546],[-51.03894,-17.412563],[-51.039391,-17.412932],[-51.039841,-17.4133],[-51.040657,-17.414058],[-51.042341,-17.415481],[-51.042963,-17.416044],[-51.043457,-17.416464],[-51.044326,-17.417272],[-51.04542,-17.418173],[-51.045278,-17.419167]]]}",2019-02-10,Milho
"{""type"":""Polygon"",""coordinates"":[[[-54.464086,-19.817637],[-54.470006,-19.8175],[-54.470075,-19.818751],[-54.470953,-19.819648],[-54.472454,-19.819239],[-54.472435,-19.820945],[-54.473995,-19.822369],[-54.475423,-19.823028],[-54.475467,-19.823051],[-54.47653,-19.823388],[-54.476874,-19.823608],[-54.475887,-19.825031],[-54.47584,-19.825031],[-54.475139,-19.825667],[-54.475356,-19.826254],[-54.474813,-19.826732],[-54.47467,-19.827413],[-54.474791,-19.828028],[-54.474214,-19.82825],[-54.473605,-19.828248],[-54.473313,-19.828974],[-54.472949,-19.829032],[-54.472867,-19.828447],[-54.472198,-19.828847],[-54.471468,-19.829265],[-54.470464,-19.828358],[-54.470235,-19.828579],[-54.47012,-19.829382],[-54.468363,-19.829788],[-54.468316,-19.828664],[-54.467777,-19.828741],[-54.467381,-19.830676],[-54.467131,-19.830718],[-54.466783,-19.830052],[-54.46648,-19.829929],[-54.466119,-19.829928],[-54.465672,-19.829227],[-54.465231,-19.828939],[-54.46435,-19.829059],[-54.463803,-19.828951],[-54.462868,-19.829745],[-54.462965,-19.830107],[-54.463694,-19.830375],[-54.464493,-19.830208],[-54.464874,-19.829905],[-54.465148,-19.829824],[-54.465666,-19.830291],[-54.465903,-19.830735],[-54.466117,-19.831238],[-54.465914,-19.832042],[-54.465879,-19.832606],[-54.46649,-19.833523],[-54.466199,-19.834481],[-54.465475,-19.835319],[-54.464373,-19.835988],[-54.463824,-19.836355],[-54.463587,-19.83641],[-54.460748,-19.836113],[-54.462397,-19.830227],[-54.463327,-19.824552],[-54.464086,-19.817637]]]}",2019-02-10,Milho
"{""type"":""Polygon"",""coordinates"":[[[-52.703948,-24.079419],[-52.70472,-24.080125],[-52.707682,-24.079223],[-52.709184,-24.081339],[-52.706609,-24.082436],[-52.710686,-24.086393],[-52.715321,-24.082828],[-52.714419,-24.081613],[-52.713518,-24.082358],[-52.71296,-24.081496],[-52.711458,-24.080164],[-52.710299,-24.080634],[-52.712231,-24.082397],[-52.709398,-24.08036],[-52.712402,-24.078949],[-52.710085,-24.075893],[-52.707853,-24.076089],[-52.703948,-24.079419]]]}",2019-02-13,Milho
"{""type"":""Polygon"",""coordinates"":[[[-47.37515,-17.861174],[-47.379227,-17.858845],[-47.383432,-17.85615],[-47.384419,-17.856068],[-47.377939,-17.850431],[-47.369099,-17.85664],[-47.370601,-17.856721],[-47.37515,-17.861174]]]}",2019-02-13,Milho
"{""type"":""Polygon"",""coordinates"":[[[-51.534371,-23.681795],[-51.534422,-23.681311],[-51.534489,-23.680368],[-51.528229,-23.679636],[-51.528057,-23.679626],[-51.527968,-23.679638],[-51.527893,-23.679677],[-51.527553,-23.680087],[-51.527424,-23.680274],[-51.527353,-23.680374],[-51.527314,-23.680438],[-51.527294,-23.680469],[-51.527274,-23.680508],[-51.52726,-23.680522],[-51.527256,-23.680565],[-51.527215,-23.680628],[-51.527199,-23.68065],[-51.527185,-23.680673],[-51.52716,-23.680706],[-51.527153,-23.680729],[-51.527157,-23.680775],[-51.52716,-23.680806],[-51.52717,-23.680824],[-51.527172,-23.680876],[-51.527131,-23.680937],[-51.527113,-23.680974],[-51.527083,-23.681011],[-51.527056,-23.681055],[-51.527083,-23.681127],[-51.52707,-23.681188],[-51.527027,-23.681217],[-51.526957,-23.681217],[-51.526944,-23.681252],[-51.526981,-23.681316],[-51.527145,-23.681355],[-51.534339,-23.682207],[-51.534371,-23.681795]]]}",2019-02-14,Milho
"{""type"":""Polygon"",""coordinates"":[[[-51.477114,-23.527568],[-51.477307,-23.527591],[-51.47734,-23.527683],[-51.477359,-23.52773],[-51.477355,-23.52779],[-51.477344,-23.527807],[-51.477344,-23.527849],[-51.477344,-23.527926],[-51.477339,-23.527989],[-51.477331,-23.528166],[-51.477295,-23.528283],[-51.477225,-23.528384],[-51.477174,-23.528451],[-51.477106,-23.52851],[-51.476934,-23.528648],[-51.476837,-23.528707],[-51.476737,-23.528812],[-51.476691,-23.528893],[-51.476634,-23.528963],[-51.476575,-23.529044],[-51.47643,-23.529209],[-51.47629,-23.529327],[-51.476161,-23.529435],[-51.476086,-23.529472],[-51.476005,-23.529479],[-51.475966,-23.52944],[-51.475924,-23.529434],[-51.475818,-23.529445],[-51.475743,-23.529474],[-51.475754,-23.529583],[-51.47579,-23.52964],[-51.475856,-23.529664],[-51.475836,-23.529717],[-51.475786,-23.529769],[-51.475723,-23.529815],[-51.475657,-23.529864],[-51.475582,-23.529868],[-51.475421,-23.529824],[-51.475185,-23.52972],[-51.474992,-23.529642],[-51.474831,-23.529622],[-51.47469,-23.52967],[-51.474654,-23.529691],[-51.474619,-23.529718],[-51.47458,-23.529755],[-51.474591,-23.529847],[-51.474617,-23.529934],[-51.47463,-23.529996],[-51.474638,-23.53004],[-51.474643,-23.530088],[-51.47465,-23.530122],[-51.47467,-23.530183],[-51.474682,-23.530255],[-51.47469,-23.530297],[-51.474694,-23.530342],[-51.474692,-23.530442],[-51.474767,-23.530547],[-51.474905,-23.530702],[-51.474924,-23.530789],[-51.4749,-23.530866],[-51.474853,-23.530989],[-51.474828,-23.531046],[-51.47479,-23.531099],[-51.474725,-23.531142],[-51.474627,-23.531188],[-51.474509,-23.531185],[-51.474413,-23.531171],[-51.47435,-23.53111],[-51.474296,-23.531014],[-51.474224,-23.530865],[-51.474153,-23.53074],[-51.4741,-23.53062],[-51.474048,-23.530502],[-51.474013,-23.530437],[-51.473945,-23.530324],[-51.473844,-23.530192],[-51.473768,-23.530142],[-51.473703,-23.53007],[-51.473619,-23.529986],[-51.473554,-23.529897],[-51.47353,-23.529822],[-51.473569,-23.529761],[-51.473678,-23.529707],[-51.47371,-23.529692],[-51.473833,-23.529681],[-51.473994,-23.529701],[-51.474155,-23.52971],[-51.474316,-23.52971],[-51.474423,-23.529701],[-51.474494,-23.529693],[-51.474602,-23.529639],[-51.474623,-23.529592],[-51.474622,-23.529538],[-51.47456,-23.529476],[-51.474489,-23.529431],[-51.474442,-23.529417],[-51.47437,-23.529386],[-51.47432,-23.529332],[-51.474299,-23.529252],[-51.474232,-23.529214],[-51.474122,-23.529161],[-51.473994,-23.529104],[-51.473904,-23.529072],[-51.473864,-23.529022],[-51.473805,-23.528959],[-51.473756,-23.528895],[-51.473746,-23.528786],[-51.473741,-23.528694],[-51.47371,-23.528625],[-51.473627,-23.528571],[-51.473733,-23.528521],[-51.473774,-23.52847],[-51.473813,-23.528509],[-51.473994,-23.528678],[-51.474033,-23.528746],[-51.47399,-23.528855],[-51.474022,-23.528893],[-51.474068,-23.52891],[-51.474095,-23.528967],[-51.474169,-23.529021],[-51.474202,-23.529045],[-51.474262,-23.529049],[-51.474352,-23.529022],[-51.474367,-23.528995],[-51.474368,-23.528953],[-51.474372,-23.528903],[-51.474389,-23.528874],[-51.474413,-23.528855],[-51.474512,-23.528823],[-51.47461,-23.528812],[-51.474663,-23.528837],[-51.474716,-23.528871],[-51.474772,-23.528916],[-51.474834,-23.528933],[-51.4749,-23.528936],[-51.474945,-23.528906],[-51.474969,-23.528839],[-51.474997,-23.528744],[-51.47505,-23.528679],[-51.475066,-23.528653],[-51.475102,-23.528637],[-51.475173,-23.528615],[-51.475236,-23.528605],[-51.475284,-23.528587],[-51.475303,-23.52855],[-51.475355,-23.528519],[-51.475408,-23.528502],[-51.47548,-23.528427],[-51.475464,-23.528387],[-51.475405,-23.528351],[-51.475311,-23.528333],[-51.475282,-23.528245],[-51.475287,-23.528214],[-51.475291,-23.528161],[-51.475267,-23.528113],[-51.475225,-23.528064],[-51.47515,-23.528037],[-51.475123,-23.527995],[-51.47518,-23.52794],[-51.475314,-23.527878],[-51.475539,-23.527823],[-51.475668,-23.527829],[-51.475701,-23.52791],[-51.475789,-23.528021],[-51.475905,-23.528074],[-51.476042,-23.527989],[-51.476151,-23.52792],[-51.476269,-23.527871],[-51.476414,-23.527819],[-51.476501,-23.527802],[-51.4766,-23.527797],[-51.476664,-23.52779],[-51.476729,-23.527766],[-51.476752,-23.527712],[-51.476825,-23.527698],[-51.476884,-23.527661],[-51.476976,-23.527614],[-51.477114,-23.527568]]]}",2019-02-15,Milho
"{""type"":""Polygon"",""coordinates"":[[[-52.02014,-22.647123],[-52.019912,-22.647383],[-52.019628,-22.647832],[-52.019585,-22.647893],[-52.019529,-22.647883],[-52.019511,-22.647794],[-52.019479,-22.647371],[-52.019472,-22.647189],[-52.01944,-22.646997],[-52.019329,-22.64673],[-52.019227,-22.646498],[-52.018979,-22.646117],[-52.018748,-22.645793],[-52.018291,-22.645444],[-52.017936,-22.64517],[-52.017332,-22.644767],[-52.017421,-22.644699],[-52.017575,-22.644602],[-52.017717,-22.644527],[-52.018005,-22.644405],[-52.018143,-22.64433],[-52.018265,-22.644231],[-52.018385,-22.644086],[-52.018456,-22.643946],[-52.018488,-22.643838],[-52.018538,-22.643739],[-52.018609,-22.643661],[-52.018695,-22.643595],[-52.018873,-22.643515],[-52.019042,-22.643458],[-52.019242,-22.643442],[-52.019383,-22.643441],[-52.019515,-22.643441],[-52.019589,-22.643389],[-52.019667,-22.643304],[-52.019737,-22.643243],[-52.019804,-22.643201],[-52.019891,-22.643156],[-52.020052,-22.643124],[-52.020233,-22.643088],[-52.020454,-22.643045],[-52.020736,-22.642998],[-52.020891,-22.642977],[-52.020966,-22.643026],[-52.02109,-22.643422],[-52.021133,-22.643581],[-52.021664,-22.643437],[-52.022018,-22.643323],[-52.022216,-22.643274],[-52.022329,-22.643398],[-52.022404,-22.643591],[-52.022538,-22.643982],[-52.02131,-22.64422],[-52.02139,-22.645195],[-52.021841,-22.645155],[-52.022184,-22.645145],[-52.022522,-22.645145],[-52.022731,-22.64519],[-52.022785,-22.645284],[-52.02279,-22.645546],[-52.02278,-22.645749],[-52.022743,-22.645801],[-52.022534,-22.645872],[-52.022325,-22.645918],[-52.022023,-22.645997],[-52.021759,-22.646086],[-52.021243,-22.646313],[-52.020831,-22.646551],[-52.020387,-22.646888],[-52.02014,-22.647123]]]}",2019-02-15,Milho
"{""type"":""Polygon"",""coordinates"":[[[-51.271455,-23.848049],[-51.271431,-23.847983],[-51.271466,-23.847924],[-51.271627,-23.847833],[-51.271761,-23.84776],[-51.271825,-23.847765],[-51.271852,-23.847706],[-51.271938,-23.84761],[-51.272094,-23.847507],[-51.272225,-23.847394],[-51.272367,-23.847281],[-51.272539,-23.847119],[-51.272764,-23.846916],[-51.272821,-23.846854],[-51.272821,-23.846815],[-51.272861,-23.846769],[-51.272933,-23.846732],[-51.272971,-23.846658],[-51.273008,-23.846614],[-51.273024,-23.846562],[-51.273022,-23.846494],[-51.273083,-23.846496],[-51.273116,-23.846435],[-51.273142,-23.846386],[-51.273196,-23.846383],[-51.273215,-23.8463],[-51.27329,-23.846248],[-51.273277,-23.846204],[-51.273271,-23.846143],[-51.273376,-23.846143],[-51.27347,-23.846087],[-51.273513,-23.846057],[-51.273612,-23.845964],[-51.27366,-23.84592],[-51.273743,-23.845885],[-51.273797,-23.845851],[-51.273915,-23.845876],[-51.273998,-23.845944],[-51.274033,-23.846003],[-51.27406,-23.846074],[-51.274105,-23.846293],[-51.274116,-23.84645],[-51.274124,-23.846536],[-51.274207,-23.846587],[-51.27428,-23.846565],[-51.274355,-23.846555],[-51.274438,-23.846526],[-51.274513,-23.846504],[-51.274647,-23.846479],[-51.274808,-23.846477],[-51.274915,-23.846516],[-51.275151,-23.846705],[-51.275251,-23.846759],[-51.275353,-23.846761],[-51.275457,-23.846837],[-51.275503,-23.84693],[-51.275597,-23.84696],[-51.275693,-23.846955],[-51.275823,-23.846933],[-51.275952,-23.84691],[-51.275425,-23.849359],[-51.274931,-23.849457],[-51.274416,-23.849595],[-51.273987,-23.849673],[-51.27358,-23.849693],[-51.273172,-23.849654],[-51.272871,-23.849595],[-51.272464,-23.849477],[-51.272249,-23.84932],[-51.271396,-23.848807],[-51.27167,-23.848491],[-51.271689,-23.848444],[-51.271675,-23.848393],[-51.271455,-23.848049]]]}",2019-02-15,Milho
