id,model,vocab,embeddings,maxlen,lstm,punct,optimizer,loss,acc,epochs,elapsed_time,timeout,max_epochs
12,RNN1,3200,128,10,256,False,adam,0.583,0.8517,67,180.8865,3,100
33,RNN1,3000,256,12,256,False,sgd_fast,0.606,0.8515,94,423.0166,7,300
68,RNN2,3000,128,12,256,False,sgd_fast,0.5837,0.8514,61,424.2277,7,300
32,RNN2,3000,256,12,256,False,sgd_fast,0.5708,0.8513,60,422.8224,7,300
15,RNN1,3200,128,10,256,False,adam_fast,0.5108,0.8513,67,180.9145,3,100
34,RNN3,3000,256,12,512,False,sgd_fast,0.5748,0.8512,63,421.3271,7,300
67,RNN3,3000,128,12,256,False,sgd_fast,0.5868,0.8511,66,420.1812,7,300
70,RNN3,3000,128,12,512,False,sgd_fast,0.5843,0.8508,66,424.1458,7,300
35,RNN2,3000,256,12,512,False,sgd_fast,0.6193,0.8503,42,429.6924,7,300
36,RNN1,3200,256,10,256,False,sgd_fast,0.5853,0.8503,51,182.1526,3,100
20,RNN2,3000,256,12,256,False,adam,0.5856,0.8502,73,420.1511,7,300
18,RNN1,3200,128,10,256,False,sgd_fast,0.5923,0.85,52,181.8799,3,100
65,RNN2,3000,128,12,512,False,adam_fast,0.6011,0.8491,41,426.466,7,300
13,RNN3,3200,128,10,256,False,adam_fast,0.6512,0.8468,57,181.0899,3,100
33,RNN1,3200,256,10,256,False,adam_fast,0.6848,0.8467,50,181.8898,3,100
71,RNN2,3000,128,12,512,False,sgd_fast,0.6503,0.8463,43,427.2094,7,300
46,RNN3,3000,128,12,512,True,adam_fast,0.6781,0.846,65,420.0154,7,300
59,RNN2,3000,128,12,512,False,adam,0.6825,0.8414,41,424.2553,7,300
31,RNN2,3200,64,10,256,True,sgd_fast,0.705,0.8378,40,244.8873,1,100
30,RNN3,3200,64,10,256,True,sgd_fast,0.7489,0.832,42,242.5518,1,100
11,RNN2,3200,64,10,128,True,adam_fast,0.7699,0.8289,60,240.9058,1,100
1,RNN3,3200,128,10,256,True,adam,0.838,0.8262,54,183.1275,3,100
12,RNN1,3200,64,10,128,True,adam_fast,0.8966,0.8217,60,140.5856,1,100
38,RNN2,3000,128,12,256,True,adam,0.8485,0.8199,75,421.3728,7,300
37,RNN3,3000,128,12,256,True,adam,0.9257,0.8112,120,422.527,7,300
7,RNN3,3000,512,10,256,True,sgd_fast,0.9152,0.808,31,181.6563,3,100
2,RNN2,3200,128,10,256,True,adam,0.9163,0.8038,35,183.7695,3,100
35,RNN2,3200,256,10,256,False,sgd_fast,0.8971,0.7998,34,180.9167,3,100
34,RNN3,3200,256,10,256,False,sgd_fast,0.9744,0.7917,38,184.4382,3,100
22,RNN3,3200,256,10,256,True,adam_fast,1.0984,0.7858,37,181.0432,3,100
21,RNN1,3200,256,10,256,True,adam,1.1756,0.7824,45,183.9106,3,100
17,RNN2,3200,128,10,256,False,sgd_fast,0.9692,0.782,35,182.755,3,100
62,RNN2,3000,128,12,256,False,adam_fast,1.0308,0.7815,84,422.5514,7,300
7,RNN2,3083,256,14,256,True,adam_fast,0.9867,0.7716,53,422.3242,7,300
61,RNN3,3000,128,12,256,False,adam_fast,1.1678,0.7635,132,420.7349,7,300
8,RNN2,3200,128,10,256,True,sgd_fast,1.064,0.757,32,182.6145,3,100
10,RNN3,3200,64,10,128,True,adam_fast,1.0958,0.7565,60,222.229,1,100
25,RNN3,3200,256,10,256,True,sgd_fast,1.1545,0.7551,31,180.9853,3,100
64,RNN3,3000,128,12,512,False,adam_fast,1.2583,0.7518,74,424.6442,7,300
30,RNN1,3200,256,10,256,False,adam,1.4094,0.7423,50,181.03,3,100
14,RNN2,3200,128,10,256,False,adam_fast,1.2305,0.7368,37,183.9533,3,100
7,RNN3,3200,128,10,256,True,sgd_fast,1.2582,0.7297,32,180.4977,3,100
26,RNN2,3200,256,10,256,True,sgd_fast,1.1828,0.7261,30,182.9594,3,100
29,RNN2,3000,256,12,512,False,adam_fast,1.2795,0.7109,39,426.8323,7,300
16,RNN3,3200,128,10,256,False,sgd_fast,1.4402,0.7083,37,184.0095,3,100
8,RNN2,3000,256,12,256,True,adam_fast,1.318,0.7076,65,423.1343,7,300
27,RNN2,3200,64,10,128,True,sgd_fast,1.2961,0.7028,38,244.3849,1,100
40,RNN3,3000,128,12,512,True,adam,1.4984,0.6909,65,420.2182,7,300
41,RNN2,3000,128,12,512,True,adam,1.4737,0.6796,36,420.0738,7,300
8,RNN2,3000,512,10,256,True,sgd_fast,1.4295,0.6697,27,181.2226,3,100
16,RNN1,3200,64,10,256,True,adam_fast,1.7552,0.6573,60,138.5905,1,100
1,RNN3,3000,512,10,256,True,adam,1.6503,0.6498,27,182.0028,3,100
5,RNN2,3200,128,10,256,True,adam_fast,1.5853,0.6452,34,184.2667,3,100
10,RNN3,3200,128,10,256,False,adam,1.7284,0.6426,58,181.607,3,100
23,RNN2,3200,256,10,256,True,adam_fast,1.6705,0.6419,29,183.103,3,100
10,RNN3,3200,128,8,256,True,sgd_fast,1.6527,0.6382,29,121.0294,3,100
10,RNN3,3200,128,8,256,True,sgd_fast,1.6527,0.6382,29,121.0294,2,100
55,RNN3,3000,128,12,256,False,adam,1.7635,0.6376,136,420.6993,7,300
