lyrics,letras_url
Nesse corpo meigo e tão pequeno,https://www.letras.mus.br/rasta-chinela/1015728/
Há uma espécie de veneno,https://www.letras.mus.br/rasta-chinela/1015728/
Bem gostoso de provar,https://www.letras.mus.br/rasta-chinela/1015728/
Como pode haver tanto desejo,https://www.letras.mus.br/rasta-chinela/1015728/
"Nos teus olhos, nos teus beijos,",https://www.letras.mus.br/rasta-chinela/1015728/
No teu jeito de abraçar,https://www.letras.mus.br/rasta-chinela/1015728/
E foi com isso que você me conquistou,https://www.letras.mus.br/rasta-chinela/1015728/
Com esse jeito de menina,https://www.letras.mus.br/rasta-chinela/1015728/
É esse gosto de mulher,https://www.letras.mus.br/rasta-chinela/1015728/
E nada existe em você,https://www.letras.mus.br/rasta-chinela/1015728/
Que eu não ame,https://www.letras.mus.br/rasta-chinela/1015728/
Sou metade sem você,https://www.letras.mus.br/rasta-chinela/1015728/
"Mon amour, meu bem, ma femme",https://www.letras.mus.br/rasta-chinela/1015728/
