lyrics,letras_url
Arrebenta....,https://www.letras.mus.br/rasta-chinela/1005908/
"Capoeira, dim, dim, dim, dim, dim, dom",https://www.letras.mus.br/rasta-chinela/1005908/
"Capoeira, dim, dim, dim, dim, dim, dim",https://www.letras.mus.br/rasta-chinela/1005908/
"Capoeira, dim, dim, dim, dim, dim, dom",https://www.letras.mus.br/rasta-chinela/1005908/
"Capoeira, dim, dim, dim, dim, dim, ê, ê, ê, ê, ê (...)",https://www.letras.mus.br/rasta-chinela/1005908/
Como vai? Tudo bem? Saudade,https://www.letras.mus.br/rasta-chinela/1005908/
"Vamos lá, pra zuar, luminosidade",https://www.letras.mus.br/rasta-chinela/1005908/
"Eu vou bem, tô relax, no stress",https://www.letras.mus.br/rasta-chinela/1005908/
Quero ver alegria estampada no rosto,https://www.letras.mus.br/rasta-chinela/1005908/
Brasil de quê? Da morena que samba,https://www.letras.mus.br/rasta-chinela/1005908/
Do futebol e a torcida comanda,https://www.letras.mus.br/rasta-chinela/1005908/
Terra do Carnaval e do trabalhador,https://www.letras.mus.br/rasta-chinela/1005908/
"É de Caê, é de calor",https://www.letras.mus.br/rasta-chinela/1005908/
"Ê, ê, ê, ê, ê, ê, ê",https://www.letras.mus.br/rasta-chinela/1005908/
"Capoeira, dim, dim, dim, dim, dim, dom",https://www.letras.mus.br/rasta-chinela/1005908/
"Capoeira, dim, dim, dim, dim, dim, dim",https://www.letras.mus.br/rasta-chinela/1005908/
"Capoeira, dim, dim, dim, dim, dim, dom",https://www.letras.mus.br/rasta-chinela/1005908/
"Capoeira, dim, dim, dim, dim, dim, ê, ê, ê, ê, ê",https://www.letras.mus.br/rasta-chinela/1005908/
"É do samba, é do reggae, axé",https://www.letras.mus.br/rasta-chinela/1005908/
Tá no sangue,https://www.letras.mus.br/rasta-chinela/1005908/
É do rei Pelé,https://www.letras.mus.br/rasta-chinela/1005908/
"É Velô, é saudade, é Senna",https://www.letras.mus.br/rasta-chinela/1005908/
"Eu Sou Rasta, quem não é:",https://www.letras.mus.br/rasta-chinela/1005908/
Que pena,https://www.letras.mus.br/rasta-chinela/1005908/
"É do samba, é do reggae, axé",https://www.letras.mus.br/rasta-chinela/1005908/
Tá no sangue,https://www.letras.mus.br/rasta-chinela/1005908/
É do rei Pelé,https://www.letras.mus.br/rasta-chinela/1005908/
"É Velô, é saudade, é Senna",https://www.letras.mus.br/rasta-chinela/1005908/
"Eu Sou Rasta, quem não é:",https://www.letras.mus.br/rasta-chinela/1005908/
Que pena,https://www.letras.mus.br/rasta-chinela/1005908/
"Ê, ê, ê, ê, ê, ê, ê",https://www.letras.mus.br/rasta-chinela/1005908/
"Capoeira, dim, dim, dim, dim, dim, dom",https://www.letras.mus.br/rasta-chinela/1005908/
"Capoeira, dim, dim, dim, dim, dim, dim",https://www.letras.mus.br/rasta-chinela/1005908/
"Capoeira, dim, dim, dim, dim, dim, dom",https://www.letras.mus.br/rasta-chinela/1005908/
"Capoeira, dim, dim, dim, dim, dim, ê, ê, ê, ê, ê",https://www.letras.mus.br/rasta-chinela/1005908/
Sinbora minha banda,https://www.letras.mus.br/rasta-chinela/1005908/
"É do samba, é do reggae, axé",https://www.letras.mus.br/rasta-chinela/1005908/
Tá no sangue,https://www.letras.mus.br/rasta-chinela/1005908/
É do rei Pelé,https://www.letras.mus.br/rasta-chinela/1005908/
"É Velô, é saudade, é Senna",https://www.letras.mus.br/rasta-chinela/1005908/
"Eu Sou Rasta, quem não é:",https://www.letras.mus.br/rasta-chinela/1005908/
Que pena,https://www.letras.mus.br/rasta-chinela/1005908/
"Ê, ê, ê, ê, ê, ê, ê",https://www.letras.mus.br/rasta-chinela/1005908/
"Capoeira, dim, dim, dim, dim, dim, dom",https://www.letras.mus.br/rasta-chinela/1005908/
"Capoeira, dim, dim, dim, dim, dim, dim",https://www.letras.mus.br/rasta-chinela/1005908/
"Capoeira, dim, dim, dim, dim, dim, dom",https://www.letras.mus.br/rasta-chinela/1005908/
"Capoeira, dim, dim, dim, dim, dim, ê, ê, ê,",https://www.letras.mus.br/rasta-chinela/1005908/
