lyrics,letras_url
Como num filme triste chorei,https://www.letras.mus.br/rasta-chinela/1917191/
Lendo a carta que deu pra mim,https://www.letras.mus.br/rasta-chinela/1917191/
Como num jogo tudo acabou,https://www.letras.mus.br/rasta-chinela/1917191/
Mas fui eu que te perdi (2x),https://www.letras.mus.br/rasta-chinela/1917191/
Me liga e diz que ainda me ama,https://www.letras.mus.br/rasta-chinela/1917191/
Não agüento mais,https://www.letras.mus.br/rasta-chinela/1917191/
Tanta solidão,https://www.letras.mus.br/rasta-chinela/1917191/
"Oh, não(2x)",https://www.letras.mus.br/rasta-chinela/1917191/
Quando se foi levou a minha paz,https://www.letras.mus.br/rasta-chinela/1917191/
E não volta atrás,https://www.letras.mus.br/rasta-chinela/1917191/
Do meu amor!,https://www.letras.mus.br/rasta-chinela/1917191/
(2x),https://www.letras.mus.br/rasta-chinela/1917191/
Refrão: (2x),https://www.letras.mus.br/rasta-chinela/1917191/
Como num filme triste chorei,https://www.letras.mus.br/rasta-chinela/1917191/
Lendo a carta que deu pra mim,https://www.letras.mus.br/rasta-chinela/1917191/
Como num jogo tudo acabou,https://www.letras.mus.br/rasta-chinela/1917191/
Mas fui eu que te perdi,https://www.letras.mus.br/rasta-chinela/1917191/
Me liga e diz que ainda me ama,https://www.letras.mus.br/rasta-chinela/1917191/
Não agüento mais,https://www.letras.mus.br/rasta-chinela/1917191/
Tanta solidão,https://www.letras.mus.br/rasta-chinela/1917191/
"Oh, não (2x)",https://www.letras.mus.br/rasta-chinela/1917191/
Quando se foi levou a minha paz,https://www.letras.mus.br/rasta-chinela/1917191/
E não volta atrás,https://www.letras.mus.br/rasta-chinela/1917191/
Do meu amor! (2x),https://www.letras.mus.br/rasta-chinela/1917191/
Refrão: (2x),https://www.letras.mus.br/rasta-chinela/1917191/
Como num filme triste chorei,https://www.letras.mus.br/rasta-chinela/1917191/
Lendo a carta que deu pra mim,https://www.letras.mus.br/rasta-chinela/1917191/
Como num jogo tudo acabou,https://www.letras.mus.br/rasta-chinela/1917191/
Mas fui eu que te perdi,https://www.letras.mus.br/rasta-chinela/1917191/
