lyrics,letras_url
Ei flor,https://www.letras.mus.br/rasta-chinela/709943/
Cadê o cheiro que ocê prometeu,https://www.letras.mus.br/rasta-chinela/709943/
Ei flor,https://www.letras.mus.br/rasta-chinela/709943/
Não venha dizer que se esqueceu,https://www.letras.mus.br/rasta-chinela/709943/
Ei flor,https://www.letras.mus.br/rasta-chinela/709943/
será que não se lembra mais d'eu,https://www.letras.mus.br/rasta-chinela/709943/
Ei flor,https://www.letras.mus.br/rasta-chinela/709943/
daquele cravo de juntin' seu,https://www.letras.mus.br/rasta-chinela/709943/
Amor,https://www.letras.mus.br/rasta-chinela/709943/
nosso brinquedo no pé de juá,https://www.letras.mus.br/rasta-chinela/709943/
Ei flor,https://www.letras.mus.br/rasta-chinela/709943/
não esconda vê se vem me dar,https://www.letras.mus.br/rasta-chinela/709943/
Amor,https://www.letras.mus.br/rasta-chinela/709943/
será que se esqueceu de mim?,https://www.letras.mus.br/rasta-chinela/709943/
não acredito no que vejo,https://www.letras.mus.br/rasta-chinela/709943/
pois sei que o seu desejo,https://www.letras.mus.br/rasta-chinela/709943/
era me amar até o fim,https://www.letras.mus.br/rasta-chinela/709943/
Amor,https://www.letras.mus.br/rasta-chinela/709943/
será que bicho foi que te mordeu,https://www.letras.mus.br/rasta-chinela/709943/
Ei flor,https://www.letras.mus.br/rasta-chinela/709943/
será o que foi que se assucedeu,https://www.letras.mus.br/rasta-chinela/709943/
Amor,https://www.letras.mus.br/rasta-chinela/709943/
não lembra mais do seu dodói,https://www.letras.mus.br/rasta-chinela/709943/
eu era o lírio dos teus olhos,https://www.letras.mus.br/rasta-chinela/709943/
"nós banhava no riacho,",https://www.letras.mus.br/rasta-chinela/709943/
"diacho, valha-me Deus",https://www.letras.mus.br/rasta-chinela/709943/
