lyrics,letras_url
Quando ela me vê ela mexe,https://www.letras.mus.br/rasta-chinela/1227800/
"Piri, pipiri, pipiri",https://www.letras.mus.br/rasta-chinela/1227800/
"Piri, Piriguete!",https://www.letras.mus.br/rasta-chinela/1227800/
Rebola devargar,https://www.letras.mus.br/rasta-chinela/1227800/
Depois desce,https://www.letras.mus.br/rasta-chinela/1227800/
"Piri, pipiri, pipiri",https://www.letras.mus.br/rasta-chinela/1227800/
"Piri, Piriguete!...(2x)",https://www.letras.mus.br/rasta-chinela/1227800/
De mini saia rodada,https://www.letras.mus.br/rasta-chinela/1227800/
Blusa rosinha,https://www.letras.mus.br/rasta-chinela/1227800/
Decote enfeitado,https://www.letras.mus.br/rasta-chinela/1227800/
Com um monte de purpurina,https://www.letras.mus.br/rasta-chinela/1227800/
Ela não paga,https://www.letras.mus.br/rasta-chinela/1227800/
Ganha cortesia,https://www.letras.mus.br/rasta-chinela/1227800/
Foge se a sua carteira,https://www.letras.mus.br/rasta-chinela/1227800/
Tiver vazia,https://www.letras.mus.br/rasta-chinela/1227800/
Vai na micareta,https://www.letras.mus.br/rasta-chinela/1227800/
Vai no pop-rock,https://www.letras.mus.br/rasta-chinela/1227800/
Festa de axé,https://www.letras.mus.br/rasta-chinela/1227800/
Ela só anda de top,https://www.letras.mus.br/rasta-chinela/1227800/
Ela usa brilho,https://www.letras.mus.br/rasta-chinela/1227800/
Piercing no umbigo,https://www.letras.mus.br/rasta-chinela/1227800/
Quando toca regue reggaeton,https://www.letras.mus.br/rasta-chinela/1227800/
Quer ficar comigo?...,https://www.letras.mus.br/rasta-chinela/1227800/
Quando ela me vê ela mexe,https://www.letras.mus.br/rasta-chinela/1227800/
"Piri, pipiri, pipiri",https://www.letras.mus.br/rasta-chinela/1227800/
"Piri, Piriguete!",https://www.letras.mus.br/rasta-chinela/1227800/
Rebola devargar,https://www.letras.mus.br/rasta-chinela/1227800/
Depois desce,https://www.letras.mus.br/rasta-chinela/1227800/
"Piri, pipiri, pipiri",https://www.letras.mus.br/rasta-chinela/1227800/
"Piri, Piriguete!...(2x)",https://www.letras.mus.br/rasta-chinela/1227800/
Foto de espelho,https://www.letras.mus.br/rasta-chinela/1227800/
Na exibição,https://www.letras.mus.br/rasta-chinela/1227800/
Ela curte funk,https://www.letras.mus.br/rasta-chinela/1227800/
Quando chega o verão,https://www.letras.mus.br/rasta-chinela/1227800/
No inverno essa mina,https://www.letras.mus.br/rasta-chinela/1227800/
Nunca sente frio,https://www.letras.mus.br/rasta-chinela/1227800/
Desfila pela night,https://www.letras.mus.br/rasta-chinela/1227800/
Com o short curtinho,https://www.letras.mus.br/rasta-chinela/1227800/
1 5 7 de marido,https://www.letras.mus.br/rasta-chinela/1227800/
Ela gosta,https://www.letras.mus.br/rasta-chinela/1227800/
É de cara comprometido,https://www.letras.mus.br/rasta-chinela/1227800/
Não tem carro,https://www.letras.mus.br/rasta-chinela/1227800/
Anda de carona,https://www.letras.mus.br/rasta-chinela/1227800/
Ela anda sexy toda guapetona,https://www.letras.mus.br/rasta-chinela/1227800/
Ela não é amante,https://www.letras.mus.br/rasta-chinela/1227800/
Não é prostituta,https://www.letras.mus.br/rasta-chinela/1227800/
Ela é fiel,https://www.letras.mus.br/rasta-chinela/1227800/
Ela é substituta...,https://www.letras.mus.br/rasta-chinela/1227800/
Quando ela me vê ela mexe,https://www.letras.mus.br/rasta-chinela/1227800/
"Piri, pipiri, pipiri",https://www.letras.mus.br/rasta-chinela/1227800/
"Piri, Piriguete!",https://www.letras.mus.br/rasta-chinela/1227800/
Rebola devargar,https://www.letras.mus.br/rasta-chinela/1227800/
Depois desce,https://www.letras.mus.br/rasta-chinela/1227800/
"Piri, pipiri, pipiri",https://www.letras.mus.br/rasta-chinela/1227800/
"Piri, Piriguete!...(2x)",https://www.letras.mus.br/rasta-chinela/1227800/
Em Governador,https://www.letras.mus.br/rasta-chinela/1227800/
Lá em Salvador,https://www.letras.mus.br/rasta-chinela/1227800/
Rio de Janeiro,https://www.letras.mus.br/rasta-chinela/1227800/
Santos e Belô!,https://www.letras.mus.br/rasta-chinela/1227800/
Todo mundo já conhece,https://www.letras.mus.br/rasta-chinela/1227800/
Sabe o que acontece,https://www.letras.mus.br/rasta-chinela/1227800/
Quando vê a gente,https://www.letras.mus.br/rasta-chinela/1227800/
Ela se oferece,https://www.letras.mus.br/rasta-chinela/1227800/
Mexe o seu corpo,https://www.letras.mus.br/rasta-chinela/1227800/
Como se fosse uma mola,https://www.letras.mus.br/rasta-chinela/1227800/
Dedinho na boquinha,https://www.letras.mus.br/rasta-chinela/1227800/
Ela olha e rebola,https://www.letras.mus.br/rasta-chinela/1227800/
Chama atenção,https://www.letras.mus.br/rasta-chinela/1227800/
Vem na sedução,https://www.letras.mus.br/rasta-chinela/1227800/
Essa noite vai ser quente,https://www.letras.mus.br/rasta-chinela/1227800/
Eu vou dar pressão...,https://www.letras.mus.br/rasta-chinela/1227800/
Quando ela me vê ela mexe,https://www.letras.mus.br/rasta-chinela/1227800/
"Piri, pipiri, pipiri",https://www.letras.mus.br/rasta-chinela/1227800/
"Piri, Piriguete!",https://www.letras.mus.br/rasta-chinela/1227800/
Rebola devargar,https://www.letras.mus.br/rasta-chinela/1227800/
Depois desce,https://www.letras.mus.br/rasta-chinela/1227800/
"Piri, pipiri, pipiri",https://www.letras.mus.br/rasta-chinela/1227800/
"Piri, Piriguete!...(4x)",https://www.letras.mus.br/rasta-chinela/1227800/
