lyrics,letras_url
Ela foi embora,https://www.letras.mus.br/rasta-chinela/1227795/
E não vai voltar,https://www.letras.mus.br/rasta-chinela/1227795/
O que é que eu vou fazer?,https://www.letras.mus.br/rasta-chinela/1227795/
Vou comemorar,https://www.letras.mus.br/rasta-chinela/1227795/
Vou cair na farra,https://www.letras.mus.br/rasta-chinela/1227795/
Pular de alegria,https://www.letras.mus.br/rasta-chinela/1227795/
Vou fazer a festa,https://www.letras.mus.br/rasta-chinela/1227795/
Vou beber e cantar,https://www.letras.mus.br/rasta-chinela/1227795/
Eu já fui pisado por essa mulher,https://www.letras.mus.br/rasta-chinela/1227795/
O que ela me fez não desejo pra ninguém,https://www.letras.mus.br/rasta-chinela/1227795/
Não vou mais sofrer,https://www.letras.mus.br/rasta-chinela/1227795/
Não vou mais chorar,https://www.letras.mus.br/rasta-chinela/1227795/
O Brasil tá cheio,https://www.letras.mus.br/rasta-chinela/1227795/
De mulher querendo amar (bis),https://www.letras.mus.br/rasta-chinela/1227795/
Eu tô solto e bem faceiro,https://www.letras.mus.br/rasta-chinela/1227795/
To que nem um passarinho,https://www.letras.mus.br/rasta-chinela/1227795/
Pulando de galho em galho,https://www.letras.mus.br/rasta-chinela/1227795/
Dormindo de ninho em ninho (bis),https://www.letras.mus.br/rasta-chinela/1227795/
Não vou mais sofrer,https://www.letras.mus.br/rasta-chinela/1227795/
Não vou mais chorar,https://www.letras.mus.br/rasta-chinela/1227795/
O Brasil tá cheio,https://www.letras.mus.br/rasta-chinela/1227795/
De mulher querendo amar (bis),https://www.letras.mus.br/rasta-chinela/1227795/
