lyrics,letras_url
Você não sabe o que eu faço para ouvir seu nome,https://www.letras.mus.br/rasta-chinela/1227792/
Disparo o coração e tento não descontrolar,https://www.letras.mus.br/rasta-chinela/1227792/
"Eu tô morrendo de saudade, isso me consome",https://www.letras.mus.br/rasta-chinela/1227792/
Eu tenho medo de não ver de novo o teu olhar,https://www.letras.mus.br/rasta-chinela/1227792/
Você não sabe o delírio do meu sentimento,https://www.letras.mus.br/rasta-chinela/1227792/
E não percebe que eu sou seu em todos os momentos,https://www.letras.mus.br/rasta-chinela/1227792/
"A minha estrela se apagou, sei que você não chora, não chora",https://www.letras.mus.br/rasta-chinela/1227792/
Se alguma vez você me amou foi da boca pra fora,https://www.letras.mus.br/rasta-chinela/1227792/
Amei seu jeito de me olhar,https://www.letras.mus.br/rasta-chinela/1227792/
Amei seu jeito de querer,https://www.letras.mus.br/rasta-chinela/1227792/
Amei seu jeito diferente de fazer amor,https://www.letras.mus.br/rasta-chinela/1227792/
Amei seu jeito de sorrir,https://www.letras.mus.br/rasta-chinela/1227792/
Amei seu jeito de dançar,https://www.letras.mus.br/rasta-chinela/1227792/
Amei mas o seu coração não aprendeu me amar...,https://www.letras.mus.br/rasta-chinela/1227792/
Você não sabe o delírio do meu sentimento,https://www.letras.mus.br/rasta-chinela/1227792/
E não percebe que eu sou seu em todos os momentos,https://www.letras.mus.br/rasta-chinela/1227792/
"A minha estrela se apagou, sei que você não chora, não chora",https://www.letras.mus.br/rasta-chinela/1227792/
Se alguma vez você me amou foi da boca pra fora,https://www.letras.mus.br/rasta-chinela/1227792/
Amei seu jeito de me olhar,https://www.letras.mus.br/rasta-chinela/1227792/
Amei seu jeito de querer,https://www.letras.mus.br/rasta-chinela/1227792/
Amei seu jeito diferente de fazer amor,https://www.letras.mus.br/rasta-chinela/1227792/
Amei seu jeito de sorrir,https://www.letras.mus.br/rasta-chinela/1227792/
Amei seu jeito de dançar,https://www.letras.mus.br/rasta-chinela/1227792/
Amei mas o seu coração não aprendeu me amar... (3x),https://www.letras.mus.br/rasta-chinela/1227792/
