lyrics,letras_url
Desfaz as malas volte aqui,https://www.letras.mus.br/rasta-chinela/620866/
O que vou fazer se voce me deixar?,https://www.letras.mus.br/rasta-chinela/620866/
Não tenho nada pra dizer,https://www.letras.mus.br/rasta-chinela/620866/
O nosso caso acabou,https://www.letras.mus.br/rasta-chinela/620866/
É o fim do nosso amor,https://www.letras.mus.br/rasta-chinela/620866/
"Eu te avisei, mas voce não levou",https://www.letras.mus.br/rasta-chinela/620866/
Muito a sério,https://www.letras.mus.br/rasta-chinela/620866/
"Fazia pirraça, brincava com meu coração",https://www.letras.mus.br/rasta-chinela/620866/
Agora você vai saber o que é prejuízo,https://www.letras.mus.br/rasta-chinela/620866/
Quando lembrar das loucuras,https://www.letras.mus.br/rasta-chinela/620866/
Da nossa paixão,https://www.letras.mus.br/rasta-chinela/620866/
Amor,https://www.letras.mus.br/rasta-chinela/620866/
Prometo tudo vai mudar,https://www.letras.mus.br/rasta-chinela/620866/
Essa poeira vai baixar e vamos,https://www.letras.mus.br/rasta-chinela/620866/
Amar novamente,https://www.letras.mus.br/rasta-chinela/620866/
Amor,https://www.letras.mus.br/rasta-chinela/620866/
Me diz que é da boca pra fora,https://www.letras.mus.br/rasta-chinela/620866/
Que o meu carinho,https://www.letras.mus.br/rasta-chinela/620866/
Te interessa,https://www.letras.mus.br/rasta-chinela/620866/
E que nunca vai me deixar,https://www.letras.mus.br/rasta-chinela/620866/
Com o tempo voce vai me esquecer (bis 4x),https://www.letras.mus.br/rasta-chinela/620866/
