lyrics,letras_url
Hoje eu vou à sua casa,https://www.letras.mus.br/rasta-chinela/2004153/
Me espere no portão,https://www.letras.mus.br/rasta-chinela/2004153/
Coração desarrumado,https://www.letras.mus.br/rasta-chinela/2004153/
O mundão de solidão,https://www.letras.mus.br/rasta-chinela/2004153/
Juro que me arrependi,https://www.letras.mus.br/rasta-chinela/2004153/
Falta você perdoar,https://www.letras.mus.br/rasta-chinela/2004153/
Não agüento essa saudade,https://www.letras.mus.br/rasta-chinela/2004153/
Esse amor vai me matar,https://www.letras.mus.br/rasta-chinela/2004153/
Sou passarinho que voa,https://www.letras.mus.br/rasta-chinela/2004153/
Querendo voltar pro ninho,https://www.letras.mus.br/rasta-chinela/2004153/
Na escuridão da noite,https://www.letras.mus.br/rasta-chinela/2004153/
Bem longe dos seus carinhos,https://www.letras.mus.br/rasta-chinela/2004153/
Eu já procurei abrigo,https://www.letras.mus.br/rasta-chinela/2004153/
Nos braços de outra pessoa,https://www.letras.mus.br/rasta-chinela/2004153/
Vê se não briga comido,https://www.letras.mus.br/rasta-chinela/2004153/
Se você ama perdoa,https://www.letras.mus.br/rasta-chinela/2004153/
Juro que me arrependi,https://www.letras.mus.br/rasta-chinela/2004153/
Falta você perdoar,https://www.letras.mus.br/rasta-chinela/2004153/
Não agüento essa saudade,https://www.letras.mus.br/rasta-chinela/2004153/
Esse amor vai me matar,https://www.letras.mus.br/rasta-chinela/2004153/
Sou passarinho que voa,https://www.letras.mus.br/rasta-chinela/2004153/
Querendo voltar pro ninho,https://www.letras.mus.br/rasta-chinela/2004153/
Na escuridão da noite,https://www.letras.mus.br/rasta-chinela/2004153/
Bem longe dos seus carinhos,https://www.letras.mus.br/rasta-chinela/2004153/
Eu já procurei abrigo,https://www.letras.mus.br/rasta-chinela/2004153/
Nos braços de outra pessoa,https://www.letras.mus.br/rasta-chinela/2004153/
Vê se não briga comido,https://www.letras.mus.br/rasta-chinela/2004153/
Se você ama perdoa,https://www.letras.mus.br/rasta-chinela/2004153/
