lyrics,letras_url
Falo que passou,https://www.letras.mus.br/rasta-chinela/1377398/
Digo que acabou,https://www.letras.mus.br/rasta-chinela/1377398/
Mas dentro de mim,https://www.letras.mus.br/rasta-chinela/1377398/
Nada mudou,https://www.letras.mus.br/rasta-chinela/1377398/
Fala que esqueceu,https://www.letras.mus.br/rasta-chinela/1377398/
Que nao quer me ver,https://www.letras.mus.br/rasta-chinela/1377398/
Tem muito de nós,https://www.letras.mus.br/rasta-chinela/1377398/
Dentro de você,https://www.letras.mus.br/rasta-chinela/1377398/
Falo que passou,https://www.letras.mus.br/rasta-chinela/1377398/
Digo que acabou,https://www.letras.mus.br/rasta-chinela/1377398/
Mas dentro de mim,https://www.letras.mus.br/rasta-chinela/1377398/
Nada mudou,https://www.letras.mus.br/rasta-chinela/1377398/
Fala que esqueci,https://www.letras.mus.br/rasta-chinela/1377398/
Nâo é bem assim,https://www.letras.mus.br/rasta-chinela/1377398/
Tem muito de nós,https://www.letras.mus.br/rasta-chinela/1377398/
Aqui dentro de mim,https://www.letras.mus.br/rasta-chinela/1377398/
Segue a vida com outro,https://www.letras.mus.br/rasta-chinela/1377398/
Pensando em mim,https://www.letras.mus.br/rasta-chinela/1377398/
Sigo com outra na vida,https://www.letras.mus.br/rasta-chinela/1377398/
Pensando em ti,https://www.letras.mus.br/rasta-chinela/1377398/
Saiba que te quero,https://www.letras.mus.br/rasta-chinela/1377398/
Eu morro de saudades,https://www.letras.mus.br/rasta-chinela/1377398/
Sem você aqui,https://www.letras.mus.br/rasta-chinela/1377398/
Eu morro de saudades,https://www.letras.mus.br/rasta-chinela/1377398/
Sem você aqui,https://www.letras.mus.br/rasta-chinela/1377398/
