lyrics,letras_url
Vem comigo que eu vou te ensinar,https://www.letras.mus.br/rasta-chinela/628376/
a dança das gatinhas que chegou para ficar,https://www.letras.mus.br/rasta-chinela/628376/
bate palmas duas vezes só pra agitar,https://www.letras.mus.br/rasta-chinela/628376/
bote as mãos no joelhinho e pode rebolar,https://www.letras.mus.br/rasta-chinela/628376/
Vem comigo que eu vou te ensinar,https://www.letras.mus.br/rasta-chinela/628376/
a dança das gatinhas que chegou para ficar,https://www.letras.mus.br/rasta-chinela/628376/
bate palmas duas vezes só pra agitar,https://www.letras.mus.br/rasta-chinela/628376/
bote as mãos no joelhinho rebola rebola rebola.....,https://www.letras.mus.br/rasta-chinela/628376/
bate palma mexe a bundinha,https://www.letras.mus.br/rasta-chinela/628376/
bate palma mexe a bundinha,https://www.letras.mus.br/rasta-chinela/628376/
"bate palma mexe a bundinha, faz manivela",https://www.letras.mus.br/rasta-chinela/628376/
bate palma mexe a bundinha,https://www.letras.mus.br/rasta-chinela/628376/
bate palma mexe a bundinha,https://www.letras.mus.br/rasta-chinela/628376/
"bate palma mexe a bundinha, cade o grito (uhh)",https://www.letras.mus.br/rasta-chinela/628376/
Vem comigo que eu vou te ensinar,https://www.letras.mus.br/rasta-chinela/628376/
a dança das gatinhas que chegou para ficar,https://www.letras.mus.br/rasta-chinela/628376/
bate palmas duas vezes só pra agitar,https://www.letras.mus.br/rasta-chinela/628376/
bote as mãos no joelhinho pode rebolar.....,https://www.letras.mus.br/rasta-chinela/628376/
Vem comigo que eu vou te ensinar,https://www.letras.mus.br/rasta-chinela/628376/
a dança das gatinhas que chegou para ficar,https://www.letras.mus.br/rasta-chinela/628376/
bate palmas duas vezes só pra agitar,https://www.letras.mus.br/rasta-chinela/628376/
bote as mãos no joelhinho e pode rebolar,https://www.letras.mus.br/rasta-chinela/628376/
bate palma mexe a bundinha,https://www.letras.mus.br/rasta-chinela/628376/
bate palma mexe a bundinha,https://www.letras.mus.br/rasta-chinela/628376/
"bate palma mexe a bundinha, faz manivela",https://www.letras.mus.br/rasta-chinela/628376/
bate palma mexe a bundinha,https://www.letras.mus.br/rasta-chinela/628376/
bate palma mexe a bundinha,https://www.letras.mus.br/rasta-chinela/628376/
"bate palma mexe a bundinha, cade o grito (uhh)",https://www.letras.mus.br/rasta-chinela/628376/
