lyrics,letras_url
E lá vem ela segurando uma latinha,https://www.letras.mus.br/rasta-chinela/1965609/
"Um estalo na tampinha de cerveja, vai",https://www.letras.mus.br/rasta-chinela/1965609/
"Corpinho lindo, vem numa reboladinha",https://www.letras.mus.br/rasta-chinela/1965609/
"Olha só que barriguinha, ai ai ai meu pai!",https://www.letras.mus.br/rasta-chinela/1965609/
"Eu chego junto, oh menina doida, como é que eu fico!",https://www.letras.mus.br/rasta-chinela/1965609/
"Dedo na boca, jogadinha no cabelo, me diz numa risadadinha:",https://www.letras.mus.br/rasta-chinela/1965609/
Eu não sou pro seu bico,https://www.letras.mus.br/rasta-chinela/1965609/
"Dedo na boca, jogadinha no cabelo, me diz numa risadinha:",https://www.letras.mus.br/rasta-chinela/1965609/
Eu não sou pro seu bico,https://www.letras.mus.br/rasta-chinela/1965609/
Refrão 2x:,https://www.letras.mus.br/rasta-chinela/1965609/
"Eu vou morrer de amor, eu vou morrer de amor..",https://www.letras.mus.br/rasta-chinela/1965609/
"Eu gosto tanto dela, alguém diz pra ela",https://www.letras.mus.br/rasta-chinela/1965609/
Oh como é que eu tô,https://www.letras.mus.br/rasta-chinela/1965609/
(repete tudo),https://www.letras.mus.br/rasta-chinela/1965609/
(Refrão 3x),https://www.letras.mus.br/rasta-chinela/1965609/
