lyrics,letras_url
Vou por aí,https://www.letras.mus.br/rasta-chinela/1902118/
Por toda cidade curtindo saudades vou por aí,https://www.letras.mus.br/rasta-chinela/1902118/
No último volume o som do carro,https://www.letras.mus.br/rasta-chinela/1902118/
Um gole de cerveja um cigarro,https://www.letras.mus.br/rasta-chinela/1902118/
Olhar perdido em alta madrugada vou por aí,https://www.letras.mus.br/rasta-chinela/1902118/
Pra onde ir?,https://www.letras.mus.br/rasta-chinela/1902118/
Pra que sorrir?,https://www.letras.mus.br/rasta-chinela/1902118/
Em cada esquina aumenta minha solidão,https://www.letras.mus.br/rasta-chinela/1902118/
Meu desejo procurando outra emoção,https://www.letras.mus.br/rasta-chinela/1902118/
Vou por aí (repete),https://www.letras.mus.br/rasta-chinela/1902118/
Eu morro de amor por ela e ela nem aí,https://www.letras.mus.br/rasta-chinela/1902118/
"Saudade rasgando o peito, pra onde ir?",https://www.letras.mus.br/rasta-chinela/1902118/
Eu morro de amor por ela e ela nem aí,https://www.letras.mus.br/rasta-chinela/1902118/
Noite fria madrugada tô por aí,https://www.letras.mus.br/rasta-chinela/1902118/
2x,https://www.letras.mus.br/rasta-chinela/1902118/
Vou por aí,https://www.letras.mus.br/rasta-chinela/1902118/
Pra onde ir?,https://www.letras.mus.br/rasta-chinela/1902118/
