lyrics,letras_url
Se lembra da primeira vez,https://www.letras.mus.br/rasta-chinela/1606501/
Que eu ti vi?,https://www.letras.mus.br/rasta-chinela/1606501/
Agente ainda era criança,https://www.letras.mus.br/rasta-chinela/1606501/
Eu me apaixonei por você,https://www.letras.mus.br/rasta-chinela/1606501/
"Mas você foi embora, o tempo passou",https://www.letras.mus.br/rasta-chinela/1606501/
Você voltou pra mim,https://www.letras.mus.br/rasta-chinela/1606501/
Não era mais criança,https://www.letras.mus.br/rasta-chinela/1606501/
Te entreguei meu coração,https://www.letras.mus.br/rasta-chinela/1606501/
Com uma louca paixao,https://www.letras.mus.br/rasta-chinela/1606501/
Pensei que nunca mais iria me esquecer,https://www.letras.mus.br/rasta-chinela/1606501/
Até o fim da minha vida com você viver,https://www.letras.mus.br/rasta-chinela/1606501/
Mas de novo você foi embora,https://www.letras.mus.br/rasta-chinela/1606501/
Me jogou fora,https://www.letras.mus.br/rasta-chinela/1606501/
Pode voltar que tô te esperando,https://www.letras.mus.br/rasta-chinela/1606501/
Pode me amar que tô te amando,https://www.letras.mus.br/rasta-chinela/1606501/
Pode me achar que eu não te perdi,https://www.letras.mus.br/rasta-chinela/1606501/
Pois eu tô com você,https://www.letras.mus.br/rasta-chinela/1606501/
Você não está aqui...(bis),https://www.letras.mus.br/rasta-chinela/1606501/
