lyrics,letras_url
Há quanto tempo eu não vejo você,https://www.letras.mus.br/rasta-chinela/1005911/
Só ficaram as lembranças,https://www.letras.mus.br/rasta-chinela/1005911/
Quando você foi levou de mim,https://www.letras.mus.br/rasta-chinela/1005911/
A vontade de amar,https://www.letras.mus.br/rasta-chinela/1005911/
Deixando-me assim,https://www.letras.mus.br/rasta-chinela/1005911/
Tudo bem se você não me quis,https://www.letras.mus.br/rasta-chinela/1005911/
Esse amor não passou de momentos e fins,https://www.letras.mus.br/rasta-chinela/1005911/
Hoje você me rodeia,https://www.letras.mus.br/rasta-chinela/1005911/
Tenta me encendiar,https://www.letras.mus.br/rasta-chinela/1005911/
Se jogando pra mim...,https://www.letras.mus.br/rasta-chinela/1005911/
Quem não te quer sou eu,https://www.letras.mus.br/rasta-chinela/1005911/
E o meu coração dilacerou,https://www.letras.mus.br/rasta-chinela/1005911/
E tudo se perdeu,https://www.letras.mus.br/rasta-chinela/1005911/
Voce teve a chance de ter um amor sem mais,https://www.letras.mus.br/rasta-chinela/1005911/
"Machucou, magoou morreu",https://www.letras.mus.br/rasta-chinela/1005911/
E Agora sou eu quem não volta atras,https://www.letras.mus.br/rasta-chinela/1005911/
Quem não te quer sou eu,https://www.letras.mus.br/rasta-chinela/1005911/
Quem não te quer sou eu,https://www.letras.mus.br/rasta-chinela/1005911/
E o meu coração dilacerou,https://www.letras.mus.br/rasta-chinela/1005911/
E tudo se perdeu,https://www.letras.mus.br/rasta-chinela/1005911/
Voce teve a chance de ter um amor sem mais,https://www.letras.mus.br/rasta-chinela/1005911/
"Machucou, magoou morreu",https://www.letras.mus.br/rasta-chinela/1005911/
E Agora sou eu quem não volta atras,https://www.letras.mus.br/rasta-chinela/1005911/
Quem não te quer sou eu,https://www.letras.mus.br/rasta-chinela/1005911/
Há quanto tempo eu não vejo você,https://www.letras.mus.br/rasta-chinela/1005911/
Só ficaram as lembranças,https://www.letras.mus.br/rasta-chinela/1005911/
Quando você foi levou de mim,https://www.letras.mus.br/rasta-chinela/1005911/
A vontade de amar,https://www.letras.mus.br/rasta-chinela/1005911/
Deixando-me assim,https://www.letras.mus.br/rasta-chinela/1005911/
Tudo bem se você não me quis,https://www.letras.mus.br/rasta-chinela/1005911/
Esse amor não passou de momentos e fins,https://www.letras.mus.br/rasta-chinela/1005911/
Hoje você me rodeia,https://www.letras.mus.br/rasta-chinela/1005911/
Tenta me encendiar,https://www.letras.mus.br/rasta-chinela/1005911/
Se jogando pra mim...,https://www.letras.mus.br/rasta-chinela/1005911/
Quem não te quer sou eu,https://www.letras.mus.br/rasta-chinela/1005911/
E o meu coração dilacerou,https://www.letras.mus.br/rasta-chinela/1005911/
E tudo se perdeu,https://www.letras.mus.br/rasta-chinela/1005911/
Voce teve a chance de ter um amor sem mais,https://www.letras.mus.br/rasta-chinela/1005911/
"Machucou, magoou morreu",https://www.letras.mus.br/rasta-chinela/1005911/
E Agora sou eu quem não volta atras,https://www.letras.mus.br/rasta-chinela/1005911/
Quem não te quer sou eu,https://www.letras.mus.br/rasta-chinela/1005911/
Quem não te quer sou eu,https://www.letras.mus.br/rasta-chinela/1005911/
E o meu coração dilacerou,https://www.letras.mus.br/rasta-chinela/1005911/
E tudo se perdeu,https://www.letras.mus.br/rasta-chinela/1005911/
Voce teve a chance de ter um amor sem mais,https://www.letras.mus.br/rasta-chinela/1005911/
"Machucou, magoou morreu",https://www.letras.mus.br/rasta-chinela/1005911/
E Agora sou eu quem não volta atras,https://www.letras.mus.br/rasta-chinela/1005911/
Quem não te quer sou eu.........,https://www.letras.mus.br/rasta-chinela/1005911/
