lyrics,letras_url
Oh meu santo antonio tenha pena tenha dó,https://www.letras.mus.br/rasta-chinela/568418/
"tô ficando velho, tô ficando só, tô ficando velho",https://www.letras.mus.br/rasta-chinela/568418/
"não posso ficar solteiro, quero uma mulher",https://www.letras.mus.br/rasta-chinela/568418/
meu santo casamenteiro.,https://www.letras.mus.br/rasta-chinela/568418/
"Peixe precisa da água, abelha precisa da flor",https://www.letras.mus.br/rasta-chinela/568418/
"eu preciso me casar, não importa com quem for.",https://www.letras.mus.br/rasta-chinela/568418/
"A fumaça fez as nuvens, e a chuva derramou",https://www.letras.mus.br/rasta-chinela/568418/
"feiticeiro faz trabalho, e eu quero é fazer amor...",https://www.letras.mus.br/rasta-chinela/568418/
Oh meu santo antonio tenha pena tenha dó,https://www.letras.mus.br/rasta-chinela/568418/
"tô ficando velho, tô ficando só, tô ficando velho",https://www.letras.mus.br/rasta-chinela/568418/
"não posso ficar solteiro, quero uma mulher",https://www.letras.mus.br/rasta-chinela/568418/
meu santo casamenteiro.,https://www.letras.mus.br/rasta-chinela/568418/
Peixe precisa da água...,https://www.letras.mus.br/rasta-chinela/568418/
