lyrics,letras_url
Pegue logo o telefone e ve falar comigo...,https://www.letras.mus.br/rasta-chinela/76317/
diz alo quero ouvir sua voz,https://www.letras.mus.br/rasta-chinela/76317/
essas brigas de ciume nao fazem mais sentido,https://www.letras.mus.br/rasta-chinela/76317/
desse amor tao carente de nos...,https://www.letras.mus.br/rasta-chinela/76317/
So quero dizer apenas I Love You,https://www.letras.mus.br/rasta-chinela/76317/
so quero te amar de novo se dar ao prazer te amar pra valer,https://www.letras.mus.br/rasta-chinela/76317/
e assim sera o nosso amor,https://www.letras.mus.br/rasta-chinela/76317/
