lyrics,letras_url
Vamos simbora,https://www.letras.mus.br/rasta-chinela/1227799/
Pra um bar,https://www.letras.mus.br/rasta-chinela/1227799/
"Beber, cair, levantar",https://www.letras.mus.br/rasta-chinela/1227799/
Vamos embora,https://www.letras.mus.br/rasta-chinela/1227799/
Pra um bar,https://www.letras.mus.br/rasta-chinela/1227799/
"Beber, cair, levantar",https://www.letras.mus.br/rasta-chinela/1227799/
"Beber, cair, levantar...(repete)",https://www.letras.mus.br/rasta-chinela/1227799/
"Cabra safado, cara zuera",https://www.letras.mus.br/rasta-chinela/1227799/
Só gosta mesmo é de mulher tranquera,https://www.letras.mus.br/rasta-chinela/1227799/
Mulher direita o cara não quer,https://www.letras.mus.br/rasta-chinela/1227799/
Fica com raiva e até briga com a mulher,https://www.letras.mus.br/rasta-chinela/1227799/
Eu quis até mudar pro meu amor,https://www.letras.mus.br/rasta-chinela/1227799/
Mas a cachaça me pegou,https://www.letras.mus.br/rasta-chinela/1227799/
E a farra agora é meu lugar (repete),https://www.letras.mus.br/rasta-chinela/1227799/
Mas se você quiser me acompanhar,https://www.letras.mus.br/rasta-chinela/1227799/
Eu vou te convidar pra ir pra onde...,https://www.letras.mus.br/rasta-chinela/1227799/
"Bora, bora",https://www.letras.mus.br/rasta-chinela/1227799/
Vamos simbora,https://www.letras.mus.br/rasta-chinela/1227799/
Pra um bar,https://www.letras.mus.br/rasta-chinela/1227799/
"Beber, cair, levantar",https://www.letras.mus.br/rasta-chinela/1227799/
Vamos embora,https://www.letras.mus.br/rasta-chinela/1227799/
Pra um bar,https://www.letras.mus.br/rasta-chinela/1227799/
"Beber, cair, levantar",https://www.letras.mus.br/rasta-chinela/1227799/
"Beber, cair, levantar...",https://www.letras.mus.br/rasta-chinela/1227799/
