lyrics,letras_url
"Não é possível, só da na caixa postal",https://www.letras.mus.br/rasta-chinela/620865/
dá pra pensar que você não quer atender,https://www.letras.mus.br/rasta-chinela/620865/
"fala comigo, fala comigo, porque amo você.",https://www.letras.mus.br/rasta-chinela/620865/
"O telefone toca, eu penso que é você",https://www.letras.mus.br/rasta-chinela/620865/
digo alô e ninguém responde,https://www.letras.mus.br/rasta-chinela/620865/
paro pra pensar na nossa relação,https://www.letras.mus.br/rasta-chinela/620865/
procuro imaginar você comigo,https://www.letras.mus.br/rasta-chinela/620865/
tento te ligar pra a gente se entender,https://www.letras.mus.br/rasta-chinela/620865/
todo tempo eu penso em você.,https://www.letras.mus.br/rasta-chinela/620865/
"Não é possível, só dá na caixa postal",https://www.letras.mus.br/rasta-chinela/620865/
dá pra pensar que você não quer atender,https://www.letras.mus.br/rasta-chinela/620865/
deixe um recado só pra você responder,https://www.letras.mus.br/rasta-chinela/620865/
se tnho chance de viver com você.,https://www.letras.mus.br/rasta-chinela/620865/
