lyrics,letras_url
Vou mandar,https://www.letras.mus.br/rasta-chinela/546535/
A solidao para outro lugar,https://www.letras.mus.br/rasta-chinela/546535/
Seu olhar no meu olhar,https://www.letras.mus.br/rasta-chinela/546535/
Sua mão na minha mão,https://www.letras.mus.br/rasta-chinela/546535/
Já não a mais solidão,https://www.letras.mus.br/rasta-chinela/546535/
Me bem se arrume vista aquela roupa,https://www.letras.mus.br/rasta-chinela/546535/
Que hoje vamos sair,https://www.letras.mus.br/rasta-chinela/546535/
Quero conversar com você passear,https://www.letras.mus.br/rasta-chinela/546535/
Te levar para outro lugar pra gente namorar,https://www.letras.mus.br/rasta-chinela/546535/
To com saudade de tudo que a gente fez,https://www.letras.mus.br/rasta-chinela/546535/
Passo ai depois das seis,https://www.letras.mus.br/rasta-chinela/546535/
Vamos para um barzinho ou para um outro lugar qualquer,https://www.letras.mus.br/rasta-chinela/546535/
Hoje a noite é nossa eu tó pro que der e vier,https://www.letras.mus.br/rasta-chinela/546535/
Vou para onde você quizer e depois,https://www.letras.mus.br/rasta-chinela/546535/
Nós vamos fazer amor de baixo do cobertor,https://www.letras.mus.br/rasta-chinela/546535/
Vou mandar,https://www.letras.mus.br/rasta-chinela/546535/
A solidão para outro lugar,https://www.letras.mus.br/rasta-chinela/546535/
Seu olhar no meu olhar,https://www.letras.mus.br/rasta-chinela/546535/
Sua mão na minha mão,https://www.letras.mus.br/rasta-chinela/546535/
Já não a mais solidão,https://www.letras.mus.br/rasta-chinela/546535/
