lyrics,letras_url
Andam falando por ai que o nosso amor já era,https://www.letras.mus.br/rasta-chinela/1917195/
Por quê?,https://www.letras.mus.br/rasta-chinela/1917195/
Me enganou todo esse tempo prometendo tanto amor,https://www.letras.mus.br/rasta-chinela/1917195/
To precisando saber,https://www.letras.mus.br/rasta-chinela/1917195/
Mas fale de coração se e verdade ou não o que a cidade esta comentando,https://www.letras.mus.br/rasta-chinela/1917195/
Mas olha o que vai dizer pra não se arrepender,https://www.letras.mus.br/rasta-chinela/1917195/
Depois você vai terminar chorando,https://www.letras.mus.br/rasta-chinela/1917195/
Depois não vá dizer que se enganou na decisão,https://www.letras.mus.br/rasta-chinela/1917195/
Não vá,https://www.letras.mus.br/rasta-chinela/1917195/
Querer de volta o meu coração...,https://www.letras.mus.br/rasta-chinela/1917195/
Ai se eu encontrar um novo alguém que me de amor,https://www.letras.mus.br/rasta-chinela/1917195/
Depois não vá dizer que se enganou na decisão,https://www.letras.mus.br/rasta-chinela/1917195/
Não vá,https://www.letras.mus.br/rasta-chinela/1917195/
Querer de volta o meu coração...,https://www.letras.mus.br/rasta-chinela/1917195/
Ai se eu encontrar um novo alguém que me de amor,https://www.letras.mus.br/rasta-chinela/1917195/
Eu vou te dizer não...,https://www.letras.mus.br/rasta-chinela/1917195/
Depois você vai terminar chorando,https://www.letras.mus.br/rasta-chinela/1917195/
Depois não vá dizer que se enganou na decisão,https://www.letras.mus.br/rasta-chinela/1917195/
Não vá,https://www.letras.mus.br/rasta-chinela/1917195/
Querer de volta o meu coração...,https://www.letras.mus.br/rasta-chinela/1917195/
Ai se eu encontrar um novo alguém que me de amor,https://www.letras.mus.br/rasta-chinela/1917195/
Depois não vá dizer que se enganou na decisão,https://www.letras.mus.br/rasta-chinela/1917195/
Não vá,https://www.letras.mus.br/rasta-chinela/1917195/
Querer de volta o meu coração...,https://www.letras.mus.br/rasta-chinela/1917195/
Ai se eu encontrar um novo alguém que me de amor,https://www.letras.mus.br/rasta-chinela/1917195/
Eu vou te dizer não...,https://www.letras.mus.br/rasta-chinela/1917195/
