lyrics,letras_url
Mete sua boca na minha,https://www.letras.mus.br/rasta-chinela/1795902/
E me beija pra valer,https://www.letras.mus.br/rasta-chinela/1795902/
Cola o seu corpo no meu,https://www.letras.mus.br/rasta-chinela/1795902/
E deixa eu te dar prazer,https://www.letras.mus.br/rasta-chinela/1795902/
Mete sua boca na minha,https://www.letras.mus.br/rasta-chinela/1795902/
E me beija pra valer,https://www.letras.mus.br/rasta-chinela/1795902/
Cola o seu corpo no meu,https://www.letras.mus.br/rasta-chinela/1795902/
E deixa eu te dar prazer,https://www.letras.mus.br/rasta-chinela/1795902/
"Quero sorrir da saudade,",https://www.letras.mus.br/rasta-chinela/1795902/
Zombar da tristeza e da solidão,https://www.letras.mus.br/rasta-chinela/1795902/
"Agora é só felicidade,",https://www.letras.mus.br/rasta-chinela/1795902/
"Amor de verdade, desejo e paixão",https://www.letras.mus.br/rasta-chinela/1795902/
"Não quero mais bebedeira,",https://www.letras.mus.br/rasta-chinela/1795902/
Chega de besteira e paixão mesquinha,https://www.letras.mus.br/rasta-chinela/1795902/
Quero sentir seu calor meu amor,https://www.letras.mus.br/rasta-chinela/1795902/
Mete sua boca na minha,https://www.letras.mus.br/rasta-chinela/1795902/
Quero sentir seu calor meu amor,https://www.letras.mus.br/rasta-chinela/1795902/
Mete sua boca na minha,https://www.letras.mus.br/rasta-chinela/1795902/
Mete sua boca na minha,https://www.letras.mus.br/rasta-chinela/1795902/
E me beija pra valer,https://www.letras.mus.br/rasta-chinela/1795902/
Cola o seu corpo no meu,https://www.letras.mus.br/rasta-chinela/1795902/
E deixa eu te dar prazer,https://www.letras.mus.br/rasta-chinela/1795902/
Mete sua boca na minha,https://www.letras.mus.br/rasta-chinela/1795902/
E me beija pra valer,https://www.letras.mus.br/rasta-chinela/1795902/
Cola o seu corpo no meu,https://www.letras.mus.br/rasta-chinela/1795902/
E deixa eu te dar prazer,https://www.letras.mus.br/rasta-chinela/1795902/
Mete sua boca na minha,https://www.letras.mus.br/rasta-chinela/1795902/
E me beija pra valer,https://www.letras.mus.br/rasta-chinela/1795902/
Cola o seu corpo no meu,https://www.letras.mus.br/rasta-chinela/1795902/
E deixa eu te dar prazer,https://www.letras.mus.br/rasta-chinela/1795902/
Mete sua boca na minha,https://www.letras.mus.br/rasta-chinela/1795902/
E me beija pra valer,https://www.letras.mus.br/rasta-chinela/1795902/
Cola o seu corpo no meu,https://www.letras.mus.br/rasta-chinela/1795902/
E deixa eu te dar prazer,https://www.letras.mus.br/rasta-chinela/1795902/
"Quero sorrir da saudade,",https://www.letras.mus.br/rasta-chinela/1795902/
Zombar da tristeza e da solidão,https://www.letras.mus.br/rasta-chinela/1795902/
"Agora é só felicidade,",https://www.letras.mus.br/rasta-chinela/1795902/
"Amor de verdade, desejo e paixão",https://www.letras.mus.br/rasta-chinela/1795902/
"Não quero mais bebedeira,",https://www.letras.mus.br/rasta-chinela/1795902/
Chega de besteira e paixão mesquinha,https://www.letras.mus.br/rasta-chinela/1795902/
Quero sentir seu calor meu amor,https://www.letras.mus.br/rasta-chinela/1795902/
Mete sua boca na minha,https://www.letras.mus.br/rasta-chinela/1795902/
Quero sentir seu calor meu amor,https://www.letras.mus.br/rasta-chinela/1795902/
Mete sua boca na minha,https://www.letras.mus.br/rasta-chinela/1795902/
Mete sua boca na minha,https://www.letras.mus.br/rasta-chinela/1795902/
E me beija pra valer,https://www.letras.mus.br/rasta-chinela/1795902/
Cola o seu corpo no meu,https://www.letras.mus.br/rasta-chinela/1795902/
E deixa eu te dar prazer,https://www.letras.mus.br/rasta-chinela/1795902/
Mete sua boca na minha,https://www.letras.mus.br/rasta-chinela/1795902/
E me beija pra valer,https://www.letras.mus.br/rasta-chinela/1795902/
Cola o seu corpo no meu,https://www.letras.mus.br/rasta-chinela/1795902/
E deixa eu te dar prazer (2x),https://www.letras.mus.br/rasta-chinela/1795902/
