lyrics,letras_url
Quando eu batia de fusquinha,https://www.letras.mus.br/rasta-chinela/1227796/
Mulherada se não tinha,https://www.letras.mus.br/rasta-chinela/1227796/
Me chamando de gostoso,https://www.letras.mus.br/rasta-chinela/1227796/
Eu andava tão complexado,https://www.letras.mus.br/rasta-chinela/1227796/
Depressivo e esstressado,https://www.letras.mus.br/rasta-chinela/1227796/
Abatido e desgostoso,https://www.letras.mus.br/rasta-chinela/1227796/
Toda vez que eu dava uma buzinada,https://www.letras.mus.br/rasta-chinela/1227796/
Mulherada me xingava,https://www.letras.mus.br/rasta-chinela/1227796/
Sai fora desconfia,https://www.letras.mus.br/rasta-chinela/1227796/
Hoje a mulherada fica louca,https://www.letras.mus.br/rasta-chinela/1227796/
Pra beijar na minha boca,https://www.letras.mus.br/rasta-chinela/1227796/
Tem festinha todo dia,https://www.letras.mus.br/rasta-chinela/1227796/
Eu já pesquisei e já provei também,https://www.letras.mus.br/rasta-chinela/1227796/
O cara de fusquinha não pega ninguém,https://www.letras.mus.br/rasta-chinela/1227796/
"Eu já pesquisei, cheguei a conclusão",https://www.letras.mus.br/rasta-chinela/1227796/
"Quer ter mulher sobrando, só batendo de carrão",https://www.letras.mus.br/rasta-chinela/1227796/
Quando eu batia de fusquinha,https://www.letras.mus.br/rasta-chinela/1227796/
Mulherada se não tinha,https://www.letras.mus.br/rasta-chinela/1227796/
Me chamando de gostoso,https://www.letras.mus.br/rasta-chinela/1227796/
Eu andava tão complexado,https://www.letras.mus.br/rasta-chinela/1227796/
Depressivo e esstressado,https://www.letras.mus.br/rasta-chinela/1227796/
Abatido e desgostoso,https://www.letras.mus.br/rasta-chinela/1227796/
Toda vez que eu dava uma buzinada,https://www.letras.mus.br/rasta-chinela/1227796/
Mulherada me xingava,https://www.letras.mus.br/rasta-chinela/1227796/
Sai fora desconfia,https://www.letras.mus.br/rasta-chinela/1227796/
Hoje a mulherada fica louca,https://www.letras.mus.br/rasta-chinela/1227796/
Pra beijar na minha boca,https://www.letras.mus.br/rasta-chinela/1227796/
Tem festinha todo dia,https://www.letras.mus.br/rasta-chinela/1227796/
