lyrics,letras_url
Sem você não da mais pra viver,https://www.letras.mus.br/rasta-chinela/1377280/
Eu sei que vou morrer nessa cachaça,https://www.letras.mus.br/rasta-chinela/1377280/
"Pra esquecer a paixão, que ainda doi aqui dentro do peito.",https://www.letras.mus.br/rasta-chinela/1377280/
"Doi demais solidão, que deixa agente entrege as baratas",https://www.letras.mus.br/rasta-chinela/1377280/
"Eu sei lá, ai de mim se eu continuar bebendo desse jeito.",https://www.letras.mus.br/rasta-chinela/1377280/
"Bebo, bebo, bebo, bebo, bebo, doido por você.",https://www.letras.mus.br/rasta-chinela/1377280/
"Desesperado, feito um bixu desgarrado, o que vou fazer.",https://www.letras.mus.br/rasta-chinela/1377280/
Pra te esquecer.,https://www.letras.mus.br/rasta-chinela/1377280/
(Refrão),https://www.letras.mus.br/rasta-chinela/1377280/
Hoje eu quero a mesa,https://www.letras.mus.br/rasta-chinela/1377280/
"Hoje eu tomo todas, vou me embriagar",https://www.letras.mus.br/rasta-chinela/1377280/
"Hoje eu entro em coma, baixo o hospital se agente não voltaaa.",https://www.letras.mus.br/rasta-chinela/1377280/
Sabe por que?,https://www.letras.mus.br/rasta-chinela/1377280/
"Eu não aguento solidão,",https://www.letras.mus.br/rasta-chinela/1377280/
"Não não, não nãoo.",https://www.letras.mus.br/rasta-chinela/1377280/
"Eu não aguento solidão,",https://www.letras.mus.br/rasta-chinela/1377280/
"Não não, não nãoo.",https://www.letras.mus.br/rasta-chinela/1377280/
"Eu não aguento solidão,",https://www.letras.mus.br/rasta-chinela/1377280/
"Não não, não nãoo.",https://www.letras.mus.br/rasta-chinela/1377280/
Não aguento solidão!,https://www.letras.mus.br/rasta-chinela/1377280/
Sem você não da mais pra viver,https://www.letras.mus.br/rasta-chinela/1377280/
Eu sei que vou morrer nessa cachaça,https://www.letras.mus.br/rasta-chinela/1377280/
"Pra esquecer a paixão, que ainda doi aqui dentro do peito.",https://www.letras.mus.br/rasta-chinela/1377280/
"Doi demais solidão, que deixa agente entrege as baratas",https://www.letras.mus.br/rasta-chinela/1377280/
"Eu sei lá, ai de mim se eu continuar bebendo desse jeito.",https://www.letras.mus.br/rasta-chinela/1377280/
"Bebo, bebo, bebo, bebo, bebo, doido por você.",https://www.letras.mus.br/rasta-chinela/1377280/
"Desesperado, feito um bixu desgarrado, o que vou fazer.",https://www.letras.mus.br/rasta-chinela/1377280/
Pra te esquecer.,https://www.letras.mus.br/rasta-chinela/1377280/
(Refrão),https://www.letras.mus.br/rasta-chinela/1377280/
Hoje eu quero a mesa,https://www.letras.mus.br/rasta-chinela/1377280/
"Hoje eu tomo todas, vou me embriagar",https://www.letras.mus.br/rasta-chinela/1377280/
"Hoje eu entro em coma, baixo o hospital se agente não voltaaa.",https://www.letras.mus.br/rasta-chinela/1377280/
Sabe por que?,https://www.letras.mus.br/rasta-chinela/1377280/
"Eu não aguento solidão,",https://www.letras.mus.br/rasta-chinela/1377280/
"Não não, não nãoo.",https://www.letras.mus.br/rasta-chinela/1377280/
"Eu não aguento solidão,",https://www.letras.mus.br/rasta-chinela/1377280/
"Não não, não nãoo.",https://www.letras.mus.br/rasta-chinela/1377280/
"Eu não aguento solidão,",https://www.letras.mus.br/rasta-chinela/1377280/
"Não não, não nãoo.",https://www.letras.mus.br/rasta-chinela/1377280/
Não aguento solidão!,https://www.letras.mus.br/rasta-chinela/1377280/
