codcult,safra,e1,e2,e3,e4,e5,e6,e7,n7tmed,p7tmax,p7tmin,p7ur,p7nprec,p7sprec,p7tmed,n7tmax,n7tmin,n7ur,n7nprec,n7sprec,p14tmed,p14tmax,p14tmin,p14ur,p14nprec,p14sprec,n14tmed,n14tmax,n14tmin,n14ur,n14nprec,n14sprec,p28tmed,p28tmax,p28tmin,p28ur,p28nprec,p28sprec,n28tmed,n28tmax,n28tmin,n28ur,n28nprec,n28sprec,delta
16,1,1.89,1.26,0.63,0.0,0.0,0.0,0.0,24.6625,31.7125,17.6125,48.1875,-0.0,0.0,25.643750000000004,32.95,18.3375,52.875,0.0,0.0,23.37,29.96666666666666,16.773333333333333,51.28333333333333,-0.0,2.1,23.116666666666674,28.75333333333333,17.48,67.55,28.57142857142857,137.00000000000003,24.574137931034485,31.32068965517242,17.827586206896555,45.31896551724138,-0.0,2.1,22.17586206896552,27.724137931034488,16.627586206896552,68.58620689655173,21.428571428571427,191.4,162
16,1,0.13,0.0,0.0,0.0,0.0,0.0,0.0,20.981250000000006,25.275,16.6875,79.4375,-28.57142857142857,54.4,21.43125,28.1625,14.7,60.4375,28.57142857142857,39.6,20.63,24.660000000000004,16.6,81.71666666666667,-42.857142857142854,191.4,22.216666666666665,28.606666666666666,15.82666666666667,62.41666666666666,28.57142857142857,94.40000000000002,22.93275862068965,28.46206896551724,17.40344827586207,66.4396551724138,-21.428571428571427,191.4,22.92413793103448,29.29655172413793,16.551724137931036,62.17241379310346,21.428571428571427,178.60000000000005,140
16,1,12.08,0.13,0.0,0.0,0.0,0.0,0.0,21.43125,28.1625,14.7,60.4375,-28.57142857142857,39.6,23.25,29.25,17.25,67.25,42.857142857142854,65.2,21.37,26.86,15.879999999999995,70.73333333333333,-21.428571428571427,64.8,23.766666666666666,30.0,17.533333333333335,63.33333333333334,21.428571428571427,73.0,22.112068965517246,27.603448275862068,16.620689655172413,69.6293103448276,-25.0,201.8,23.58103448275862,29.82413793103448,17.337931034482757,63.99137931034482,25.0,179.2,133
16,1,47.4,12.08,0.13,0.0,0.0,0.0,0.0,23.25,29.25,17.25,67.25,-42.857142857142854,65.2,24.44375,30.925,17.9625,58.90625,0.0,7.8,22.216666666666665,28.606666666666666,15.82666666666667,62.41666666666666,-28.57142857142857,94.40000000000002,23.773333333333333,30.126666666666665,17.42,61.73333333333333,14.285714285714285,84.19999999999997,21.515517241379303,26.70344827586207,16.327586206896555,72.55172413793103,-32.142857142857146,256.6,23.42068965517241,29.772413793103446,17.06896551724138,63.03448275862069,17.857142857142858,145.6,126
16,1,79.06,47.39,14.4,0.0,0.0,0.0,0.0,24.44375,30.925,17.9625,58.90625,-0.0,7.8,23.56875,29.9125,17.225,63.28125,28.57142857142857,76.4,23.766666666666666,30.0,17.533333333333335,63.33333333333334,-21.428571428571427,73.0,23.656666666666673,29.98,17.333333333333332,63.81666666666667,28.57142857142857,106.2,22.51206896551724,28.368965517241378,16.655172413793107,66.40517241379311,-17.857142857142858,127.4,23.59655172413793,29.706896551724128,17.486206896551725,65.52586206896552,25.0,169.7,119
16,1,97.17,79.07,47.4,0.0,0.0,0.0,0.0,23.56875,29.9125,17.225,63.28125,-28.57142857142857,76.4,23.512500000000006,29.6,17.425,67.46875,28.57142857142857,29.8,23.773333333333333,30.126666666666665,17.42,61.73333333333333,-14.285714285714285,84.19999999999997,22.96,29.19333333333333,16.726666666666667,66.05,21.428571428571427,61.4,22.92413793103448,29.29655172413793,16.551724137931036,62.17241379310346,-21.428571428571427,178.60000000000005,24.000000000000004,29.73793103448276,18.262068965517237,69.73275862068965,21.428571428571427,125.0,112
16,1,100.01,97.17,79.07,0.0,0.0,0.0,0.0,23.512500000000006,29.6,17.425,67.46875,-28.57142857142857,29.8,22.33125,28.8625,15.8,63.8125,14.285714285714285,31.6,23.656666666666673,29.98,17.333333333333332,63.81666666666667,-28.57142857142857,106.2,23.453333333333337,29.44,17.466666666666665,66.83333333333333,21.428571428571427,63.5,23.58103448275862,29.82413793103448,17.337931034482757,63.99137931034482,-25.0,179.2,24.268965517241373,29.675862068965515,18.86206896551724,73.0344827586207,21.428571428571427,145.1,105
16,1,100.0,100.0,97.16,0.0,0.0,0.0,0.0,22.33125,28.8625,15.8,63.8125,-14.285714285714285,31.6,24.63125,30.4125,18.85,67.40625,28.57142857142857,31.9,22.96,29.19333333333333,16.726666666666667,66.05,-21.428571428571427,61.4,25.03333333333334,30.47333333333333,19.593333333333327,71.91666666666667,21.428571428571427,63.6,23.42068965517241,29.772413793103446,17.06896551724138,63.03448275862069,-17.857142857142858,145.6,24.460344827586212,29.355172413793106,19.565517241379307,76.72413793103449,21.428571428571427,136.60000000000002,98
16,1,100.0,100.0,100.0,0.0,0.0,0.0,0.0,24.63125,30.4125,18.85,67.40625,-28.57142857142857,31.9,25.34375,30.725,19.9625,75.125,14.285714285714285,31.7,23.453333333333337,29.44,17.466666666666665,66.83333333333333,-21.428571428571427,63.5,25.086666666666666,30.066666666666666,20.106666666666673,78.46666666666667,21.428571428571427,81.6,23.59655172413793,29.706896551724128,17.486206896551725,65.52586206896552,-25.0,169.7,24.69137931034483,29.46206896551724,19.92068965517241,79.48275862068967,25.0,193.50000000000003,91
16,1,100.0,100.0,100.0,0.0,0.0,0.0,0.0,25.34375,30.725,19.9625,75.125,-14.285714285714285,31.7,24.862500000000004,29.262500000000006,20.4625,82.375,28.57142857142857,49.90000000000001,25.03333333333334,30.47333333333333,19.593333333333327,71.91666666666667,-21.428571428571427,63.6,23.94666666666667,28.20666666666667,19.686666666666664,81.95,21.428571428571427,73.0,24.000000000000004,29.73793103448276,18.262068965517237,69.73275862068965,-21.428571428571427,125.0,24.644827586206894,29.213793103448282,20.075862068965517,80.19827586206897,28.57142857142857,204.7,84
