Nome da instituicao;Sigla da instituicao;Nome da base de dados;Sigla da base de dados;Responsavel pelo registro;Numero do registro no portal;Numero do registro na base de dados;Data do registro;Data do evento;Data de Carencia;Nome cientifico;Nome comum;Nome cientifico na base de dados;Nivel taxonomico;Numero de individuos;Reino;Filo;Classe;Ordem;Familia;Genero;Especie;Estado de conservacao;Categoria de Ameaca;Localidade;Pais;Estado/Provincia;Municipio;Status de Sensibilidade;Latitude;Longitude;Outras informacoes da localidade;Jurisdicao;Destino do Material
Sem Informações;JBRJ;Herbário do Jardim Botânico do Rio de Janeiro;RB;Soares-Silva, L.H.;RB00540261;1110;08/09/2001;Sem Informações;30/10/2017;Exostyles godoyensis;Sem Informações;Exostyles godoyensis Soares-Silva & Mansano;species;Sem Informações;Sem Informações;Magnoliophyta;Magnoliopsida;Fabales;Fabaceae;Exostyles;Exostyles godoyensis;Espécie não Ameaçada;Sem Informações;Parque Estadual Mata dos Godoy.;Brasil;Paraná;Londrina;Espécie não Sensível;-23.45;-51.0833333;Sem Informações;Sem Informações;Sem Informações
Sem Informações;JBRJ;Herbário do Jardim Botânico do Rio de Janeiro;RB;Petronio Pires Furtado;RB00346131;179;03/05/1982;Sem Informações;30/10/2017;Guarea macrophylla;Sem Informações;Guarea macrophylla ssp. pachycarpa (DC.) Penn.;species;Sem Informações;Sem Informações;Magnoliophyta;Magnoliopsida;Sapindales;Meliaceae;Guarea;Guarea macrophylla;Espécie não Ameaçada;Sem Informações;Próximo de Ribeirão do Pinhal.;Brasil;Paraná;Sem Informações;Espécie não Sensível;-23.3666667;-51.2833333;Sem Informações;Sem Informações;Sem Informações
Sem Informações;JBRJ;Herbário do Jardim Botânico do Rio de Janeiro;RB;W.H. Matos;RB00682578;20;04/12/2005;Sem Informações;30/10/2017;Trichilia casaretti;Sem Informações;Trichilia casaretti C.DC.;species;Sem Informações;Sem Informações;Magnoliophyta;Magnoliopsida;Sapindales;Meliaceae;Trichilia;Trichilia casaretti;Espécie não Ameaçada;Sem Informações;Estância Patrial.;Brasil;Paraná;Londrina;Espécie não Sensível;-23.3666667;-51.2333333;Sem Informações;Sem Informações;Sem Informações
Sem Informações;JBRJ;Herbário do Jardim Botânico do Rio de Janeiro;RB;E.M. Francisco;RB00682659;194;04/03/2009;Sem Informações;30/10/2017;Melochia pyramidata;Sem Informações;Melochia pyramidata L.;species;Sem Informações;Sem Informações;Magnoliophyta;Magnoliopsida;Malvales;Sterculiaceae;Melochia;Melochia pyramidata;Espécie não Ameaçada;Sem Informações;Faz. Santa Helena.;Brasil;Paraná;Londrina;Espécie não Sensível;-23.4;-51.2333333;Sem Informações;Sem Informações;Sem Informações
Sem Informações;JBRJ;Herbário do Jardim Botânico do Rio de Janeiro;RB;A. Kassner-Filho;RB00796520;4;22/01/2003;Sem Informações;30/10/2017;Chamaecrista;Sem Informações;Chamaecrista;genus;Sem Informações;Sem Informações;Magnoliophyta;Magnoliopsida;Fabales;Fabaceae;Chamaecrista;Sem Informações;Espécie Ameaçada;Em Perigo;Mata dos Godoy.;Brasil;Paraná;Londrina;Espécie não Sensível;-23.4433333;-51.2472222;Sem Informações;Sem Informações;Sem Informações
Sem Informações;JBRJ;Herbário do Jardim Botânico do Rio de Janeiro;RB;E.F.S. Rosetto;RB01129795;174;15/11/2010;Sem Informações;30/10/2017;Peperomia rhombea;Sem Informações;Peperomia rhombea Ruiz & Pav.;species;Sem Informações;Sem Informações;Magnoliophyta;Magnoliopsida;Piperales;Piperaceae;Peperomia;Peperomia rhombea;Espécie não Ameaçada;Sem Informações;Parque Estadual Mata dos Godoy;Brasil;Paraná;Londrina;Espécie não Sensível;-23.4333333;-51.2333333;Sem Informações;Sem Informações;Sem Informações
Sem Informações;JBRJ;Herbário do Jardim Botânico do Rio de Janeiro;RB;E.F.S. Rosetto;RB01129800;172;07/10/2010;Sem Informações;30/10/2017;Peperomia rhombea;Sem Informações;Peperomia rhombea Ruiz & Pav.;species;Sem Informações;Sem Informações;Magnoliophyta;Magnoliopsida;Piperales;Piperaceae;Peperomia;Peperomia rhombea;Espécie não Ameaçada;Sem Informações;Parque Estadual Mata dos Godoy: próxima ao limite oeste da trilha dos catetos, lado direito da trilha;Brasil;Paraná;Londrina;Espécie não Sensível;-23.4333333;-51.2333333;Sem Informações;Sem Informações;Sem Informações
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Lucia Giuliano Caetano;1029800;Nº Da Autorização/Licença Sisbio: 11399;12/04/2016;13/04/2016 a 13/04/2016;12/12/2012;Serrasalmus maculatus;Piranha-amarela;Serrasalmus maculatus;species;2;Sem Informações;Chordata;Actinopterygii;Characiformes;Characidae;Serrasalmus;Serrasalmus maculatus;Espécie não Ameaçada;Sem Informações;Ribeirão Três Bocas;Brasil;PR;Londrina;Espécie não Sensível;-23.385525;-51.076383;Coordenada aproximada;Sem Informações;Será destinado posteriormente
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Lucia Giuliano Caetano;1029801;Nº Da Autorização/Licença Sisbio: 11399;12/04/2016;13/04/2016 a 13/04/2016;12/12/2012;Hypostomus strigaticeps;Cascudo-pintado;Hypostomus strigaticeps;species;2;Sem Informações;Chordata;Actinopterygii;Siluriformes;Loricariidae;Hypostomus;Hypostomus strigaticeps;Espécie não Ameaçada;Sem Informações;Ribeirão Três Bocas;Brasil;PR;Londrina;Espécie não Sensível;-23.385525;-51.076383;Coordenada aproximada;Sem Informações;Será destinado posteriormente
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Lucia Giuliano Caetano;1029802;Nº Da Autorização/Licença Sisbio: 11399;12/04/2016;13/04/2016 a 13/04/2016;12/12/2012;Astyanax fasciatus;Lambari-do-rabo-vermelho;Astyanax fasciatus;species;2;Sem Informações;Chordata;Actinopterygii;Characiformes;Characidae;Astyanax;Astyanax fasciatus;Espécie não Ameaçada;Sem Informações;Ribeirão Três Bocas;Brasil;PR;Londrina;Espécie não Sensível;-23.385525;-51.076383;Coordenada aproximada;Sem Informações;Será destinado posteriormente
