Nome da instituicao;Sigla da instituicao;Nome da base de dados;Sigla da base de dados;Responsavel pelo registro;Numero do registro no portal;Numero do registro na base de dados;Data do registro;Data do evento;Data de Carencia;Nome cientifico;Nome comum;Nome cientifico na base de dados;Nivel taxonomico;Numero de individuos;Reino;Filo;Classe;Ordem;Familia;Genero;Especie;Estado de conservacao;Categoria de Ameaca;Localidade;Pais;Estado/Provincia;Municipio;Status de Sensibilidade;Latitude;Longitude;Outras informacoes da localidade;Jurisdicao;Destino do Material
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Rose Gomes Monnerat Solon De Pontes;812136;Nº Da Autorização/Licença Sisbio: 27130;01/11/2015;02/11/2015 a 23/11/2015;06/01/2016;Helicoverpa;Sem Informações;Helicoverpa;genus;1,000;Sem Informações;Arthropoda;Insecta;Lepidoptera;Noctuidae;Helicoverpa;Sem Informações;Espécie não Ameaçada;Sem Informações;Area De Produção De Algodão E Milho;Brasil;MT;Primavera Do Leste;Espécie não Sensível;-15.559722;-54.297222;Coordenada aproximada;Sem Informações;Destinado a criadouro
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Jerson Vanderlei Carús Guedes;246182;Nº Da Autorização/Licença Sisbio: 32627, Projeto: Variabilidade Genética De Pseudoplusia Includens E Spodoptera Eridania;16/01/2013;17/01/2013 a 17/01/2013;23/10/2016;Helicoverpa;Sem Informações;Helicoverpa;genus;10;Sem Informações;Arthropoda;Insecta;Lepidoptera;Noctuidae;Helicoverpa;Sem Informações;Espécie não Ameaçada;Sem Informações;Lavoura;Brasil;RS;Salto Do Jacui;Espécie não Sensível;-29.144917;-53.207278;Coordenada de referência da área amostrada;Sem Informações;Destinado a laboratório
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Jerson Vanderlei Carús Guedes;246222;Nº Da Autorização/Licença Sisbio: 32627, Projeto: Variabilidade Genética De Pseudoplusia Includens E Spodoptera Eridania;26/02/2012;27/02/2012 a 27/02/2012;23/10/2016;Helicoverpa;Sem Informações;Helicoverpa;genus;1;Sem Informações;Arthropoda;Insecta;Lepidoptera;Noctuidae;Helicoverpa;Sem Informações;Espécie não Ameaçada;Sem Informações;Lavoura;Brasil;RS;Frederico Westphalen;Espécie não Sensível;-27.389278;-53.375356;Coordenada de referência da área amostrada;Sem Informações;Destinado a laboratório
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Jerson Vanderlei Carús Guedes;246223;Nº Da Autorização/Licença Sisbio: 32627, Projeto: Variabilidade Genética De Pseudoplusia Includens E Spodoptera Eridania;26/02/2012;27/02/2012 a 27/02/2012;23/10/2016;Helicoverpa;Sem Informações;Helicoverpa;genus;1;Sem Informações;Arthropoda;Insecta;Lepidoptera;Noctuidae;Helicoverpa;Sem Informações;Espécie não Ameaçada;Sem Informações;Lavoura;Brasil;RS;Palmeira Das Missoes;Espécie não Sensível;-27.941306;-53.297889;Coordenada de referência da área amostrada;Sem Informações;Destinado a laboratório
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Jerson Vanderlei Carús Guedes;239563;Nº Da Autorização/Licença Sisbio: 32627, Projeto: Variabilidade Genética De Pseudoplusia Includens E Spodoptera Eridania;28/03/2012;29/03/2012 a 29/03/2012;23/10/2016;Helicoverpa;Sem Informações;Helicoverpa;genus;7;Sem Informações;Arthropoda;Insecta;Lepidoptera;Noctuidae;Helicoverpa;Sem Informações;Espécie não Ameaçada;Sem Informações;Lavoura;Brasil;RS;Sao Vicente Do Sul;Espécie não Sensível;-29.766056;-54.707692;Coordenada de referência da área amostrada;Sem Informações;Destinado a laboratório
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Maria Carolina Blassioli Moraes;575225;Nº Da Autorização/Licença Sisbio: 39181, Projeto: Prospecção De Semioquímicos Associados A Diferentes Espécies De Broca-Dos-Frutos Que Atacam Plantas De Cupuaçu, Cacau E Café.;09/03/2014;10/03/2014 a 31/03/2014;04/06/2019;Helicoverpa;Sem Informações;Helicoverpa;genus;100;Sem Informações;Arthropoda;Insecta;Lepidoptera;Noctuidae;Helicoverpa;Sem Informações;Espécie não Ameaçada;Sem Informações;Area De Cultivo De Soja E Café Na Embrapa Brasilia;Brasil;DF;Brasilia;Espécie não Sensível;-15.732614;-47.905708;Coordenada aproximada;Sem Informações;Descartado
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Edson Hirose;570825;Nº Da Autorização/Licença Sisbio: 29545;31/10/2013;01/11/2013 a 29/01/2014;15/04/2019;Helicoverpa;Sem Informações;Helicoverpa;genus;80;Sem Informações;Arthropoda;Insecta;Lepidoptera;Noctuidae;Helicoverpa;Sem Informações;Espécie não Ameaçada;Sem Informações;Embrapa;Brasil;GO;Santo Antonio De Goias;Espécie não Sensível;-16.493333;-49.2875;Coordenada aproximada;Sem Informações;Destinado a criadouro
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Adeney De Freitas Bueno;528304;Nº Da Autorização/Licença Sisbio: 31888;09/01/2014;10/01/2014 a 10/02/2014;24/12/2017;Helicoverpa;Sem Informações;Helicoverpa;genus;50;Sem Informações;Arthropoda;Insecta;Lepidoptera;Noctuidae;Helicoverpa;Sem Informações;Espécie não Ameaçada;Sem Informações;Centro Nacional De Pesquisa De Soja;Brasil;PR;Londrina;Espécie não Sensível;-23.195556;-51.176389;Coordenada de referência da área amostrada;Sem Informações;Destinado a laboratório
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Adeney De Freitas Bueno;528307;Nº Da Autorização/Licença Sisbio: 31889, Projeto: Manejo De Artrópodes Pragas E Inimigos Naturais Em Agroecossistemas;09/01/2014;10/01/2014 a 10/02/2014;24/12/2017;Helicoverpa;Sem Informações;Helicoverpa;genus;50;Sem Informações;Arthropoda;Insecta;Lepidoptera;Noctuidae;Helicoverpa;Sem Informações;Espécie não Ameaçada;Sem Informações;Centro Nacional De Pesquisa De Soja;Brasil;PR;Londrina;Espécie não Sensível;-23.195556;-51.176389;Coordenada de referência da área amostrada;Sem Informações;Destinado a laboratório
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Jerson Vanderlei Carús Guedes;737352;Nº Da Autorização/Licença Sisbio: 32627, Projeto: Variabilidade Genética De Pseudoplusia Includens E Spodoptera Eridania;17/01/2013;18/01/2013 a 18/01/2013;23/10/2016;Helicoverpa;Sem Informações;Helicoverpa;genus;1;Sem Informações;Arthropoda;Insecta;Lepidoptera;Noctuidae;Helicoverpa;Sem Informações;Espécie não Ameaçada;Sem Informações;Lavoura;Brasil;RS;Lagoa Vermelha;Espécie não Sensível;-28.375969;-51.669028;Coordenada de referência da área amostrada;Sem Informações;Destinado a laboratório
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Jerson Vanderlei Carús Guedes;737354;Nº Da Autorização/Licença Sisbio: 32627, Projeto: Variabilidade Genética De Pseudoplusia Includens E Spodoptera Eridania;16/01/2013;17/01/2013 a 17/01/2013;23/10/2016;Helicoverpa;Sem Informações;Helicoverpa;genus;1;Sem Informações;Arthropoda;Insecta;Lepidoptera;Noctuidae;Helicoverpa;Sem Informações;Espécie não Ameaçada;Sem Informações;Lavoura;Brasil;RS;Boa Vista Do Burica;Espécie não Sensível;-27.687828;-54.091706;Coordenada de referência da área amostrada;Sem Informações;Destinado a laboratório
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Jerson Vanderlei Carús Guedes;737356;Nº Da Autorização/Licença Sisbio: 32627, Projeto: Variabilidade Genética De Pseudoplusia Includens E Spodoptera Eridania;16/01/2013;17/01/2013 a 17/01/2013;23/10/2016;Helicoverpa;Sem Informações;Helicoverpa;genus;1;Sem Informações;Arthropoda;Insecta;Lepidoptera;Noctuidae;Helicoverpa;Sem Informações;Espécie não Ameaçada;Sem Informações;Lavoura;Brasil;RS;Sao Luiz Gonzaga;Espécie não Sensível;-28.590139;-54.999206;Coordenada de referência da área amostrada;Sem Informações;Destinado a laboratório
