Nome da instituicao;Sigla da instituicao;Nome da base de dados;Sigla da base de dados;Responsavel pelo registro;Numero do registro no portal;Numero do registro na base de dados;Data do registro;Data do evento;Data de Carencia;Nome cientifico;Nome comum;Nome cientifico na base de dados;Nivel taxonomico;Numero de individuos;Reino;Filo;Classe;Ordem;Familia;Genero;Especie;Estado de conservacao;Categoria de Ameaca;Localidade;Pais;Estado/Provincia;Municipio;Status de Sensibilidade;Latitude;Longitude;Outras informacoes da localidade;Jurisdicao;Destino do Material
Sem Informações;ICMBio;Atlas de Registro de Aves Brasileiras;ARA - Atlas de Registros de Aves Brasileiras;Ibama (Instituto Brasileiro de Meio Ambiente e dos Recursos Naturais Renováveis). 2005. Plano de Manejo da Área de Proteção Ambiental Fernando de Noronha - Atol das Rocas e São Pedro São Paulo. Versão Final. Brasília. 102p.;ARA-LIT-95651;Sem Informações;Sem Informações;Sem Informações;27/09/2017;Egretta garzetta;Garça-branca-pequena-europeia;Egretta garzetta;species;1;Sem Informações;Chordata;Aves;Ciconiiformes;Ardeidae;Egretta;Egretta garzetta;Espécie não Ameaçada;Sem Informações;APA de Fernando de Noronha;Sem Informações;PE;Fernando de Noronha;Espécie não Sensível;-3.849;-32.42;Coordenada exata da ocorr?ncia;Sem Informações;Sem Informações
Sem Informações;ICMBio;Atlas de Registro de Aves Brasileiras;ARA - Atlas de Registros de Aves Brasileiras;Ibama (Instituto Brasileiro de Meio Ambiente e dos Recursos Naturais Renováveis). 2005. Plano de Manejo da Área de Proteção Ambiental Fernando de Noronha - Atol das Rocas e São Pedro São Paulo. Versão Final. Brasília. 102p.;ARA-LIT-95652;Sem Informações;Sem Informações;Sem Informações;27/09/2017;Egretta gularis;Garça-negra;Egretta gularis;species;1;Sem Informações;Chordata;Aves;Ciconiiformes;Ardeidae;Egretta;Egretta gularis;Espécie não Ameaçada;Sem Informações;APA de Fernando de Noronha;Sem Informações;PE;Fernando de Noronha;Espécie não Sensível;-3.849;-32.42;Coordenada exata da ocorr?ncia;Sem Informações;Sem Informações
Sem Informações;ICMBio;Atlas de Registro de Aves Brasileiras;ARA - Atlas de Registros de Aves Brasileiras;Ibama (Instituto Brasileiro de Meio Ambiente e dos Recursos Naturais Renováveis). 2005. Plano de Manejo da Área de Proteção Ambiental Fernando de Noronha - Atol das Rocas e São Pedro São Paulo. Versão Final. Brasília. 102p.;ARA-LIT-95653;Sem Informações;Sem Informações;Sem Informações;27/09/2017;Egretta thula;garça-branca-pequena;Egretta thula;species;1;Sem Informações;Chordata;Aves;Ciconiiformes;Ardeidae;Egretta;Egretta thula;Espécie não Ameaçada;Sem Informações;APA de Fernando de Noronha;Sem Informações;PE;Fernando de Noronha;Espécie não Sensível;-3.849;-32.42;Coordenada exata da ocorr?ncia;Sem Informações;Sem Informações
Sem Informações;ICMBio;Atlas de Registro de Aves Brasileiras;ARA - Atlas de Registros de Aves Brasileiras;Ibama (Instituto Brasileiro de Meio Ambiente e dos Recursos Naturais Renováveis). 2005. Plano de Manejo da Área de Proteção Ambiental Fernando de Noronha - Atol das Rocas e São Pedro São Paulo. Versão Final. Brasília. 102p.;ARA-LIT-95654;Sem Informações;Sem Informações;Sem Informações;27/09/2017;Falco peregrinus;Sem Informações;Falco peregrinus;species;1;Sem Informações;Chordata;Aves;Ciconiiformes;Falconidae;Falco;Falco peregrinus;Espécie não Ameaçada;Sem Informações;APA de Fernando de Noronha;Sem Informações;PE;Fernando de Noronha;Espécie não Sensível;-3.849;-32.42;Coordenada exata da ocorr?ncia;Sem Informações;Sem Informações
Sem Informações;ICMBio;Atlas de Registro de Aves Brasileiras;ARA - Atlas de Registros de Aves Brasileiras;Ibama (Instituto Brasileiro de Meio Ambiente e dos Recursos Naturais Renováveis). 2005. Plano de Manejo da Área de Proteção Ambiental Fernando de Noronha - Atol das Rocas e São Pedro São Paulo. Versão Final. Brasília. 102p.;ARA-LIT-95655;Sem Informações;Sem Informações;Sem Informações;27/09/2017;Fregata magnificens;Tesourão;Fregata magnificens;species;1;Sem Informações;Chordata;Aves;Ciconiiformes;Fregatidae;Fregata;Fregata magnificens;Espécie não Ameaçada;Sem Informações;APA de Fernando de Noronha;Sem Informações;PE;Fernando de Noronha;Espécie não Sensível;-3.849;-32.42;Coordenada exata da ocorr?ncia;Sem Informações;Sem Informações
Sem Informações;ICMBio;Atlas de Registro de Aves Brasileiras;ARA - Atlas de Registros de Aves Brasileiras;Ibama (Instituto Brasileiro de Meio Ambiente e dos Recursos Naturais Renováveis). 2005. Plano de Manejo da Área de Proteção Ambiental Fernando de Noronha - Atol das Rocas e São Pedro São Paulo. Versão Final. Brasília. 102p.;ARA-LIT-95656;Sem Informações;Sem Informações;Sem Informações;27/09/2017;Fregetta tropica;Painho-de-barriga-preta;Fregetta tropica;species;1;Sem Informações;Chordata;Aves;Ciconiiformes;Hydrobatidae;Fregetta;Fregetta tropica;Espécie não Ameaçada;Sem Informações;APA de Fernando de Noronha;Sem Informações;PE;Fernando de Noronha;Espécie não Sensível;-3.849;-32.42;Coordenada exata da ocorr?ncia;Sem Informações;Sem Informações
Sem Informações;ICMBio;Atlas de Registro de Aves Brasileiras;ARA - Atlas de Registros de Aves Brasileiras;Ibama (Instituto Brasileiro de Meio Ambiente e dos Recursos Naturais Renováveis). 2005. Plano de Manejo da Área de Proteção Ambiental Fernando de Noronha - Atol das Rocas e São Pedro São Paulo. Versão Final. Brasília. 102p.;ARA-LIT-95657;Sem Informações;Sem Informações;Sem Informações;27/09/2017;Fulmarus glacialoides;Pardelão-prateado;Fulmarus glacialoides;species;1;Sem Informações;Chordata;Aves;Ciconiiformes;Procellariidae;Fulmarus;Fulmarus glacialoides;Espécie não Ameaçada;Sem Informações;APA de Fernando de Noronha;Sem Informações;PE;Fernando de Noronha;Espécie não Sensível;-3.849;-32.42;Coordenada exata da ocorr?ncia;Sem Informações;Sem Informações
Sem Informações;ICMBio;Atlas de Registro de Aves Brasileiras;ARA - Atlas de Registros de Aves Brasileiras;Ibama (Instituto Brasileiro de Meio Ambiente e dos Recursos Naturais Renováveis). 2005. Plano de Manejo da Área de Proteção Ambiental Fernando de Noronha - Atol das Rocas e São Pedro São Paulo. Versão Final. Brasília. 102p.;ARA-LIT-95658;Sem Informações;Sem Informações;Sem Informações;27/09/2017;Gygis alba;Grazina;Gygis alba;species;1;Sem Informações;Chordata;Aves;Ciconiiformes;Laridae;Gygis;Gygis alba;Espécie não Ameaçada;Sem Informações;APA de Fernando de Noronha;Sem Informações;PE;Fernando de Noronha;Espécie não Sensível;-3.849;-32.42;Coordenada exata da ocorr?ncia;Sem Informações;Sem Informações
Sem Informações;ICMBio;Atlas de Registro de Aves Brasileiras;ARA - Atlas de Registros de Aves Brasileiras;Ibama (Instituto Brasileiro de Meio Ambiente e dos Recursos Naturais Renováveis). 2005. Plano de Manejo da Área de Proteção Ambiental Fernando de Noronha - Atol das Rocas e São Pedro São Paulo. Versão Final. Brasília. 102p.;ARA-LIT-95659;Sem Informações;Sem Informações;Sem Informações;27/09/2017;Hirundo rustica;Sem Informações;Hirundo rustica;species;1;Sem Informações;Chordata;Aves;Passeriformes;Hirundinidae;Hirundo;Hirundo rustica;Espécie não Ameaçada;Sem Informações;APA de Fernando de Noronha;Sem Informações;PE;Fernando de Noronha;Espécie não Sensível;-3.849;-32.42;Coordenada exata da ocorr?ncia;Sem Informações;Sem Informações
Sem Informações;ICMBio;Atlas de Registro de Aves Brasileiras;ARA - Atlas de Registros de Aves Brasileiras;Neves, T., Olmos, F., Peppes, F. & Mohr, L.V. (org.). 2006. Plano de Ação Nacional para a Conservação de Albatrozes e Petréis. Série salves Ameaçadas, 2. Brasília: IBAMA. 124p.;ARA-LIT-95660;Sem Informações;Sem Informações;Sem Informações;27/09/2017;Fulmarus glacialoides;Pardelão-prateado;Fulmarus glacialoides;species;1;Sem Informações;Chordata;Aves;Ciconiiformes;Procellariidae;Fulmarus;Fulmarus glacialoides;Espécie não Ameaçada;Sem Informações;APA de Fernando de Noronha;Sem Informações;PE;Fernando de Noronha;Espécie não Sensível;-3.849;-32.42;Coordenada exata da ocorr?ncia;Sem Informações;Sem Informações
